Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.083,0.124,9.051,19.075,90,12.36,39.98
0.065,-0.079,0.145,9.049,19.088,90,12.36,40
0.129,-0.086,0.166,9.046,19.1,90,12.36,39.97
0.194,-0.045,0.207,9.045,19.102,90,12.36,39.87
0.258,-0.109,0.124,9.041,19.102,90,12.36,39.75
0.323,0.077,0.394,9.039,19.105,90,12.36,39.73
0.387,0.003,0.228,9.036,19.105,90,12.36,39.8
0.452,-0.008,0.166,9.035,19.1,90,12.36,39.85
0.516,0.142,0.186,9.034,19.095,90,12.36,39.87
0.581,0.207,0.186,9.031,19.09,90,12.36,39.86
0.645,-0.059,0.228,9.031,19.103,90,12.36,39.88
0.71,-0.072,0.207,9.031,19.129,90,12.36,39.9
0.774,-0.074,0.186,9.029,19.141,90,12.36,39.9
0.839,-0.074,0.186,9.026,19.15,90,12.36,39.81
0.903,-0.045,0.249,9.024,19.154,90,12.36,39.65
0.968,-0.12,0.124,9.022,19.154,90,12.36,39.62
1.032,0.201,0.331,9.021,19.154,90,12.36,39.68
1.097,-0.053,0.166,9.019,19.152,90,12.36,39.75
1.161,0.057,0.249,9.017,19.152,90,12.37,39.75
1.226,0.244,0.186,9.015,19.148,90,12.36,39.74
1.29,0.081,0.228,9.014,19.145,90,12.36,39.75
1.355,-0.062,0.166,9.012,19.144,88,12.36,39.77
1.419,-0.053,0.145,9.011,19.144,88,12.36,39.78
1.484,-0.072,0.186,9.009,19.143,88,12.36,39.8
1.548,-0.055,0.124,9.009,19.14,88,12.36,39.68
1.613,-0.058,0.186,9.007,19.135,88,12.36,39.55
1.677,-0.124,0.186,9.005,19.134,88,12.36,39.55
1.742,0.169,0.331,9.003,19.135,88,12.36,39.71
1.806,-0.007,0.186,9.002,19.137,88,12.36,39.75
1.871,0.098,0.207,8.999,19.137,88,12.36,39.74
1.935,0.255,0.207,8.997,19.141,88,12.36,39.73
2,0.021,0.249,8.995,19.147,88,12.36,39.75
2.065,-0.055,0.186,8.994,19.143,86,12.36,39.82
2.129,-0.056,0.124,8.992,19.14,86,12.36,39.89
2.194,-0.074,0.207,8.99,19.135,86,12.36,40.04
2.258,-0.037,0.207,8.989,19.13,86,12.36,40.03
2.323,-0.079,0.186,8.989,19.125,86,12.36,40.02
2.387,0.072,0.269,8.988,19.12,86,12.36,39.91
2.452,-0.018,0.249,8.987,19.115,86,12.36,39.67
2.516,0.025,0.186,8.987,19.106,86,12.36,39.34
2.581,0.164,0.186,8.984,19.095,86,12.36,39.05
2.645,0.216,0.145,8.984,19.084,86,12.36,38.76
2.71,-0.017,0.166,8.982,19.071,86,12.36,38.44
2.774,-0.036,0.186,8.982,19.066,86,12.36,38.1
2.839,-0.042,0.186,8.982,19.058,86,12.36,37.81
2.903,-0.057,0.145,8.979,19.052,86,12.36,37.5
2.968,-0.017,0.186,8.978,19.042,86,12.36,37.08
