Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,0.14,0.249,1.937,4.003,78,11.38,35.5
0.065,-0.037,0.228,1.937,4.002,78,11.38,35.51
0.129,-0.043,0.228,1.934,4.001,78,11.38,35.49
0.194,-0.035,0.249,1.934,4,78,11.38,35.46
0.258,-0.046,0.249,1.934,3.997,78,11.38,35.35
0.323,-0.063,0.228,1.934,3.997,78,11.38,35.34
0.387,-0.076,0.228,1.934,3.995,78,11.38,35.38
0.452,-0.066,0.352,1.932,3.995,78,11.38,35.4
0.516,0.224,0.767,1.932,3.992,78,11.38,35.44
0.581,-0.042,0.249,1.933,3.991,78,11.38,35.45
0.645,-0.009,0.228,1.932,3.99,78,11.38,35.54
0.71,0.119,0.249,1.93,3.99,76,11.38,35.54
0.774,0.117,0.249,1.929,3.988,76,11.38,35.62
0.839,-0.032,0.269,1.929,3.987,76,11.38,35.72
0.903,-0.053,0.228,1.929,3.987,76,11.38,35.82
0.968,-0.044,0.269,1.928,3.985,76,11.38,35.87
1.032,-0.028,0.228,1.925,3.982,76,11.38,35.96
1.097,-0.044,0.29,1.925,3.982,76,11.38,35.96
1.161,-0.084,0.269,1.927,3.98,76,11.38,36.07
1.226,0.209,0.829,1.925,3.98,76,11.38,36.19
1.29,-0.058,0.331,1.924,3.978,76,11.38,36.3
1.355,-0.021,0.269,1.924,3.978,76,11.38,36.4
1.419,0.04,0.269,1.924,3.975,81,11.38,36.47
1.484,0.15,0.269,1.924,3.975,81,11.38,36.56
1.548,0.024,0.249,1.922,3.974,81,11.38,36.66
1.613,-0.053,0.249,1.922,3.973,81,11.38,36.77
1.677,-0.037,0.269,1.922,3.971,81,11.38,36.84
1.742,-0.009,0.249,1.922,3.97,81,11.37,36.89
1.806,-0.051,0.29,1.922,3.97,81,11.38,36.94
1.871,-0.084,0.331,1.919,3.968,81,11.38,36.98
1.935,0.225,0.767,1.919,3.966,81,11.38,36.98
2,-0.044,0.331,1.919,3.964,81,11.38,36.94
2.065,-0.016,0.249,1.919,3.963,81,11.38,36.88
2.129,0.055,0.228,1.918,3.96,85,11.38,36.8
2.194,0.149,0.311,1.917,3.96,85,11.38,36.73
2.258,-0.012,0.29,1.917,3.958,85,11.38,36.66
2.323,-0.052,0.249,1.917,3.958,85,11.38,36.61
2.387,-0.037,0.228,1.917,3.955,85,11.38,36.52
2.452,-0.023,0.29,1.917,3.954,85,11.37,36.4
2.516,-0.038,0.29,1.914,3.953,85,11.37,36.29
2.581,-0.081,0.311,1.914,3.953,85,11.37,36.2
2.645,0.228,0.787,1.914,3.95,85,11.38,36.13
2.71,-0.047,0.249,1.914,3.949,85,11.37,36.05
2.774,-0.022,0.249,1.914,3.948,85,11.37,35.99
2.839,0.04,0.207,1.912,3.945,83,11.37,35.94
2.903,0.159,0.249,1.912,3.943,83,11.38,35.92
2.968,0.035,0.228,1.912,3.943,83,11.37,35.92
3.032,-0.043,0.228,1.91,3.94,83,11.37,35.92
3.097,-0.031,0.249,1.909,3.94,83,11.37,35.9
3.161,-0.033,0.269,1.909,3.939,83,11.37,35.82
3.226,-0.005,0.228,1.909,3.936,83,11.37,35.73
3.29,-0.044,0.249,1.909,3.935,83,11.37,35.7
3.355,-0.073,0.311,1.909,3.933,83,11.37,35.66
3.419,0.246,0.746,1.907,3.933,83,11.37,35.65
3.484,-0.028,0.29,1.907,3.93,83,11.37,35.62
3.548,-0.003,0.249,1.907,3.929,83,11.37,35.59
3.613,0.066,0.249,1.907,3.928,78,11.37,35.58
3.677,0.175,0.249,1.904,3.926,78,11.37,35.57
3.742,0.016,0.29,1.904,3.926,78,11.37,35.55
3.806,-0.035,0.207,1.904,3.925,78,11.37,35.53
3.871,-0.025,0.249,1.904,3.923,78,11.37,35.52
3.935,-0.033,0.269,1.904,3.921,78,11.37,35.46
4,-0.042,0.269,1.902,3.92,78,11.37,35.42
4.065,-0.004,0.269,1.902,3.92,78,11.37,35.38
4.129,-0.053,0.269,1.902,3.919,78,11.37,35.37
4.194,-0.052,0.352,1.902,3.916,78,11.37,35.36
4.258,0.239,0.684,1.9,3.915,78,11.37,35.36
4.323,-0.028,0.249,1.899,3.915,78,11.37,35.37
4.387,0.004,0.186,1.899,3.915,78,11.37,35.37
4.452,0.09,0.228,1.899,3.915,72,11.37,35.38
4.516,0.17,0.269,1.899,3.913,72,11.37,35.38
4.581,-0.01,0.249,1.898,3.913,72,11.37,35.39
4.645,-0.036,0.249,1.897,3.913,72,11.37,35.4
4.71,-0.032,0.249,1.897,3.91,72,11.37,35.45
4.774,-0.044,0.269,1.897,3.91,72,11.37,35.46
4.839,-0.025,0.249,1.897,3.908,72,11.37,35.51
4.903,-0.056,0.228,1.897,3.908,72,11.37,35.58
4.968,-0.086,0.269,1.894,3.908,72,11.37,35.67
5.032,0.228,0.849,1.894,3.906,72,11.37,35.75
5.097,-0.044,0.29,1.894,3.906,72,11.37,35.86
5.161,-0.017,0.29,1.894,3.905,72,11.37,35.97
5.226,0.055,0.249,1.893,3.905,76,11.37,36.07
5.29,0.155,0.269,1.892,3.905,76,11.37,36.15
5.355,-0.009,0.249,1.892,3.905,76,11.37,36.24
5.419,-0.057,0.29,1.892,3.903,76,11.37,36.34
5.484,-0.042,0.269,1.892,3.903,76,11.37,36.4
5.548,-0.049,0.249,1.892,3.903,76,11.37,36.46
5.613,-0.025,0.269,1.89,3.903,76,11.37,36.54
5.677,-0.086,0.228,1.889,3.903,76,11.37,36.63
5.742,0.127,0.725,1.889,3.903,76,11.37,36.71
5.806,0.02,0.539,1.889,3.9,76,11.37,36.79
5.871,-0.038,0.311,1.889,3.9,76,11.37,36.84
5.935,0.089,0.269,1.887,3.9,80,11.37,36.9
6,0.131,0.269,1.887,3.9,80,11.37,36.94
6.065,0.081,0.207,1.887,3.898,80,11.37,36.92
6.129,-0.062,0.207,1.887,3.898,80,11.37,36.87
6.194,-0.053,0.249,1.887,3.895,80,11.37,36.77
6.258,-0.056,0.228,1.884,3.894,80,11.37,36.53
6.323,-0.045,0.228,1.884,3.893,80,11.37,36.52
6.387,-0.059,0.249,1.884,3.892,80,11.37,36.45
6.452,-0.1,0.29,1.884,3.891,80,11.37,36.36
6.516,0.212,0.704,1.883,3.889,80,11.37,36.28
6.581,-0.071,0.373,1.882,3.888,80,11.37,36.22
6.645,-0.048,0.228,1.882,3.886,80,11.37,36.16
6.71,0.01,0.228,1.882,3.886,80,11.37,36.11
6.774,0.125,0.29,1.882,3.883,80,11.37,36.03
6.839,0.007,0.207,1.882,3.883,80,11.37,35.96
6.903,-0.081,0.29,1.879,3.881,80,11.37,35.9
6.968,-0.068,0.269,1.879,3.881,80,11.37,35.85
7.032,-0.073,0.29,1.879,3.879,80,11.37,35.75
7.097,-0.083,0.228,1.879,3.877,80,11.37,35.69
7.161,-0.048,0.249,1.879,3.876,80,11.37,35.65
7.226,-0.11,0.228,1.879,3.874,80,11.37,35.64
7.29,0.011,0.642,1.878,3.873,80,11.37,35.63
7.355,0.084,0.58,1.877,3.872,80,11.37,35.61
7.419,-0.074,0.249,1.877,3.871,80,11.37,35.61
7.484,-0.035,0.249,1.877,3.869,75,11.37,35.61
7.548,0.068,0.249,1.877,3.868,75,11.37,35.6
7.613,0.086,0.249,1.875,3.868,75,11.37,35.59
7.677,-0.084,0.228,1.874,3.866,75,11.35,35.57
7.742,-0.085,0.269,1.874,3.866,75,11.37,35.55
7.806,-0.081,0.249,1.874,3.864,75,11.37,35.53
7.871,-0.093,0.249,1.874,3.863,75,11.37,35.48
7.935,-0.101,0.29,1.873,3.861,75,11.37,35.47
8,-0.065,0.269,1.872,3.859,75,11.35,35.45
8.065,-0.123,0.29,1.872,3.858,75,11.37,35.45
8.129,0.072,0.58,1.872,3.857,75,11.35,35.44
8.194,0.004,0.518,1.872,3.856,75,11.37,35.44
8.258,-0.079,0.249,1.869,3.853,75,11.37,35.45
8.323,-0.035,0.269,1.869,3.853,71,11.35,35.45
8.387,0.071,0.269,1.869,3.853,71,11.37,35.45
8.452,0.073,0.228,1.869,3.851,71,11.37,35.47
8.516,-0.088,0.228,1.869,3.849,71,11.37,35.46
