Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,0.117,0.355,6.39,5.293,59,16.63,48.77
0.065,-0.139,0.306,6.386,5.291,56,16.6,48.7
0.129,-0.142,0.373,6.385,5.288,56,16.63,48.58
0.194,-0.143,0.376,6.381,5.285,56,16.64,48.39
0.258,-0.152,0.231,6.379,5.283,56,16.6,48.27
0.323,-0.155,0.166,6.376,5.28,56,16.59,48.2
0.387,-0.156,0.363,6.375,5.278,56,16.63,48.15
0.452,-0.155,0.272,6.37,5.273,56,16.62,48.19
0.516,-0.148,0.254,6.369,5.271,56,16.59,48.19
0.581,-0.096,0.119,6.366,5.269,56,16.6,48.12
0.645,-0.153,0.161,6.364,5.266,56,16.63,48.14
0.71,-0.141,0.373,6.362,5.264,56,16.62,48.19
0.774,0.2,0.28,6.36,5.26,56,16.62,48.15
0.839,-0.06,0.197,6.357,5.259,56,16.62,48.15
0.903,0.015,0.199,6.354,5.256,56,16.62,48.19
0.968,0.153,0.228,6.353,5.253,56,16.62,48.21
1.032,0.223,0.199,6.35,5.251,56,16.62,48.19
1.097,-0.093,0.228,6.348,5.248,56,16.62,48.18
1.161,-0.143,0.163,6.344,5.245,56,16.62,48.21
1.226,-0.133,0.228,6.343,5.243,56,16.62,48.18
1.29,-0.142,0.161,6.34,5.24,56,16.6,48.03
1.355,-0.148,0.228,6.338,5.238,56,16.6,47.99
1.419,-0.15,0.329,6.335,5.235,56,16.59,48.01
1.484,-0.151,0.225,6.333,5.233,56,16.59,48.01
1.548,-0.146,0.228,6.33,5.229,56,16.58,48.04
1.613,-0.094,0.275,6.328,5.228,56,16.59,48.07
1.677,-0.14,0.228,6.325,5.224,56,16.59,48.08
1.742,-0.144,0.329,6.323,5.223,56,16.57,48.13
1.806,0.217,0.368,6.319,5.219,56,16.56,48.28
1.871,-0.054,0.295,6.318,5.216,56,16.58,48.53
1.935,0.018,0.117,6.315,5.214,56,16.6,48.72
2,0.16,0.023,6.313,5.213,56,16.59,48.94
2.065,0.253,0.311,6.31,5.211,56,16.59,49.17
2.129,-0.065,0.363,6.308,5.207,56,16.59,49.38
2.194,-0.128,0.228,6.304,5.206,57,16.59,49.59
2.258,-0.119,0.117,6.303,5.203,57,16.58,49.77
2.323,-0.121,0.275,6.3,5.201,57,16.6,49.91
2.387,-0.12,0.313,6.299,5.197,57,16.6,50.08
2.452,-0.116,0.295,6.295,5.196,57,16.6,50.23
2.516,-0.079,0.228,6.294,5.192,57,16.62,50.4
2.581,-0.089,0.254,6.29,5.189,57,16.62,50.57
2.645,-0.118,0.22,6.289,5.187,57,16.62,50.6
2.71,0.283,0.293,6.285,5.184,57,16.59,50.63
2.774,-0.111,0.298,6.284,5.182,57,16.6,50.69
2.839,0.001,0.021,6.282,5.181,57,16.59,50.67
2.903,0.114,0.163,6.279,5.178,57,16.6,50.59
2.968,0.265,0.225,6.277,5.174,57,16.59,50.49
3.032,0.018,0.368,6.274,5.173,57,16.6,50.39
3.097,-0.13,0.231,6.272,5.171,65,16.59,50.24
3.161,-0.124,0.347,6.27,5.168,65,16.58,50.04
3.226,-0.13,0.407,6.267,5.166,65,16.58,49.82
3.29,-0.139,0.386,6.265,5.163,65,16.57,49.59
3.355,-0.141,0.313,6.262,5.161,65,16.57,49.41
3.419,-0.109,0.029,6.26,5.158,65,16.58,49.27
3.484,-0.104,0.251,6.257,5.156,65,16.58,49.17
3.548,-0.15,0.332,6.255,5.153,65,16.57,49.06
3.613,0.288,0.249,6.253,5.152,65,16.54,48.93
3.677,-0.147,0.332,6.251,5.149,65,16.56,48.82
3.742,-0.014,0.251,6.248,5.147,65,16.56,48.73
3.806,0.099,0.163,6.246,5.146,65,16.56,48.68
3.871,0.034,0.272,6.245,5.142,65,16.56,48.62
3.935,-0.044,0.272,6.242,5.141,65,16.56,48.55
4,-0.135,0.272,6.24,5.138,65,16.57,48.48
4.065,-0.126,0.36,6.237,5.136,65,16.57,48.44
4.129,-0.125,0.383,6.236,5.133,65,16.58,48.32
4.194,-0.132,0.308,6.231,5.128,65,16.56,48.19
4.258,-0.132,0.233,6.23,5.128,65,16.56,48.19
4.323,-0.124,0.231,6.227,5.126,65,16.53,48.18
4.387,-0.061,0.277,6.226,5.124,65,16.53,48.2
4.452,-0.125,0.29,6.222,5.121,65,16.54,48.19
4.516,-0.058,0.269,6.22,5.12,65,16.53,48.17
4.581,0.197,0.277,6.217,5.116,65,16.56,48.17
4.645,-0.026,0.295,6.216,5.115,65,16.58,48.19
4.71,0.062,0.254,6.213,5.112,65,16.58,48.2
4.774,0.215,0.029,6.211,5.11,65,16.56,48.21
4.839,0.242,0.303,6.208,5.109,65,16.53,48.21
4.903,-0.066,0.339,6.207,5.105,65,16.54,48.21
4.968,-0.089,0.295,6.203,5.104,64,16.57,48.19
5.032,-0.075,0.943,6.202,5.101,64,16.58,48.19
5.097,-0.071,0.093,6.2,5.099,64,16.58,48.1
5.161,-0.079,0.031,6.197,5.096,64,16.57,48.07
5.226,-0.071,0.264,6.195,5.095,64,16.53,48.08
5.29,-0.073,0.269,6.192,5.09,64,16.54,48.09
5.355,-0.022,0.272,6.19,5.087,64,16.56,48.07
5.419,-0.089,0.119,6.187,5.086,64,16.56,47.98
5.484,0.121,0.319,6.186,5.087,64,16.57,47.96
5.548,0.121,0.298,6.184,5.086,64,16.56,48.09
5.613,0.033,0.228,6.181,5.086,64,16.56,48.16
5.677,0.122,0.034,6.179,5.087,64,16.56,48.37
5.742,0.272,0.225,6.176,5.091,64,16.56,48.72
5.806,0.24,0.295,6.175,5.089,64,16.54,49
5.871,-0.034,0.399,6.173,5.087,64,16.53,49.13
5.935,-0.045,0.275,6.17,5.084,62,16.54,49.15
6,-0.047,0.163,6.168,5.081,62,16.56,49.05
6.065,-0.059,0.161,6.165,5.077,62,16.56,48.91
6.129,-0.057,0.332,6.163,5.075,62,16.56,49.06
6.194,-0.01,0.339,6.16,5.071,62,16.57,49.35
6.258,-0.082,0.383,6.158,5.07,62,16.56,49.71
6.323,0.193,0.3,6.155,5.067,62,16.52,49.98
6.387,0.028,0.339,6.153,5.065,62,16.51,50.17
6.452,0.018,0.355,6.151,5.062,62,16.53,50.31
6.516,0.118,0.275,6.148,5.06,62,16.54,50.48
6.581,0.276,0.228,6.146,5.057,62,16.56,50.68
6.645,0.178,0.347,6.144,5.054,62,16.56,50.89
6.71,-0.065,0.339,6.141,5.051,71,16.54,51.14
6.774,-0.073,0.311,6.139,5.05,71,16.53,51.35
6.839,-0.072,0.228,6.136,5.047,71,16.53,51.45
6.903,-0.094,0.352,6.134,5.045,71,16.53,51.46
6.968,-0.047,0.321,6.131,5.042,71,16.53,51.51
7.032,-0.07,0.326,6.13,5.04,71,16.53,51.53
7.097,-0.114,0.368,6.126,5.038,71,16.53,51.52
7.161,0.299,0.225,6.125,5.035,71,16.53,51.4
7.226,-0.093,0.256,6.121,5.034,71,16.53,51.17
7.29,0.015,0.332,6.12,5.032,71,16.53,50.89
7.355,0.14,0.355,6.118,5.03,71,16.52,50.6
7.419,0.285,0.386,6.115,5.029,71,16.52,50.34
7.484,0.016,0.373,6.113,5.028,71,16.51,50.1
7.548,-0.106,0.355,6.11,5.027,73,16.53,49.83
7.613,-0.092,0.332,6.108,5.029,73,16.53,49.6
7.677,-0.095,0.194,6.105,5.03,73,16.53,49.36
7.742,-0.107,0.251,6.103,5.033,73,16.53,49.15
7.806,-0.109,0.163,6.1,5.035,73,16.52,49
7.871,-0.04,0.269,6.099,5.041,73,16.51,48.91
7.935,-0.104,0.396,6.097,5.048,73,16.52,48.9
8,-0.111,0.329,6.096,5.057,73,16.53,48.85
8.065,0.249,0.365,6.093,5.068,73,16.52,48.78
8.129,-0.031,0.22,6.093,5.082,73,16.52,48.76
8.194,0.04,0.228,6.091,5.097,73,16.51,48.76
8.258,0.183,0.231,6.091,5.116,73,16.52,48.77
8.323,0.25,0.269,6.091,5.139,73,16.51,48.79
8.387,-0.064,0.422,6.091,5.163,73,16.49,48.76
8.452,-0.117,0.298,6.094,5.184,68,16.51,48.74
8.516,-0.113,0.295,6.097,5.204,68,16.51,48.72
8.581,-0.131,0.277,6.101,5.224,68,16.51,48.62
8.645,-0.141,0.316,6.106,5.246,68,16.51,48.58
8.71,-0.147,0.168,6.114,5.269,68,16.49,48.57
8.774,-0.143,0.401,6.122,5.293,68,16.49,48.58
8.839,-0.081,0.197,6.132,5.315,68,16.49,48.61
8.903,-0.151,0.026,6.145,5.337,68,16.49,48.59
8.968,-0.135,0.249,6.157,5.357,68,16.48,48.59
9.032,0.189,0.228,6.171,5.377,68,16.47,48.59
9.097,-0.076,0.231,6.186,5.399,68,16.47,48.6
9.161,0.001,0.026,6.201,5.419,68,16.47,48.63
9.226,0.15,0.119,6.216,5.438,62,16.46,48.64
9.29,0.215,0.28,6.233,5.451,62,16.47,48.64
9.355,-0.094,0.357,6.251,5.465,62,16.47,48.63
9.419,-0.14,0.293,6.267,5.476,62,16.46,48.61
9.484,-0.134,0.313,6.284,5.483,62,16.48,48.58
9.548,-0.143,0.259,6.3,5.49,62,16.49,48.48
9.613,-0.153,0.275,6.317,5.495,62,16.48,48.47
9.677,-0.154,0.313,6.333,5.499,62,16.51,48.47
9.742,-0.152,0.3,6.348,5.502,62,16.48,48.47
9.806,-0.122,0.316,6.361,5.506,62,16.49,48.49
9.871,-0.119,0.231,6.375,5.507,62,16.51,48.49
9.935,-0.158,0.199,6.386,5.509,62,16.51,48.49
10,0.272,0.264,6.398,5.505,62,16.49,48.5
10.065,-0.165,0.376,6.408,5.504,62,16.49,48.54
10.129,-0.035,0.298,6.418,5.5,62,16.51,48.57
10.194,0.077,0.199,6.426,5.495,62,16.53,48.58
10.258,0.246,0.119,6.432,5.49,62,16.62,48.57
10.323,0.077,0.332,6.437,5.485,62,16.71,48.58
10.387,-0.119,0.117,6.444,5.48,60,16.9,48.57
10.452,-0.114,0.114,6.447,5.474,60,16.63,48.56
10.516,-0.113,0.114,6.45,5.468,60,16.76,48.49
10.581,-0.121,0.228,6.451,5.461,60,16.68,48.43
10.645,-0.117,0.295,6.452,5.454,60,16.74,48.43
10.71,-0.11,0.22,6.451,5.448,60,16.69,48.42
10.774,-0.103,0.313,6.45,5.44,60,16.71,48.44
10.839,-0.053,0.409,6.447,5.433,60,16.69,48.45
10.903,-0.111,0.3,6.442,5.426,60,16.69,48.43
10.968,-0.089,0.197,6.44,5.419,60,16.68,48.43
11.032,0.231,0.352,6.435,5.411,60,16.67,48.48
11.097,-0.032,0.256,6.43,5.405,60,16.67,48.55
11.161,0.047,0.023,6.425,5.398,60,16.65,48.63
11.226,0.198,0.161,6.418,5.392,60,16.64,48.76
11.29,0.265,0.29,6.412,5.386,60,16.63,48.9
11.355,-0.05,0.355,6.405,5.379,60,16.65,49.06
11.419,-0.1,0.192,6.397,5.372,60,16.64,49.24
11.484,-0.09,0.021,6.392,5.366,60,16.65,49.38
11.548,-0.1,0.308,6.385,5.361,60,16.65,49.46
11.613,-0.105,0.396,6.377,5.354,60,16.65,49.62
11.677,-0.103,0.321,6.37,5.348,60,16.65,49.8
11.742,-0.085,0.246,6.364,5.342,60,16.65,50.01
11.806,-0.049,0.202,6.358,5.336,60,16.64,50.2
11.871,-0.104,0.021,6.35,5.331,60,16.65,50.32
11.935,0.13,0.223,6.343,5.326,60,16.65,50.43
12,0.075,0.355,6.336,5.321,60,16.65,50.57
12.065,-0.003,0.332,6.33,5.316,60,16.65,50.71
12.129,0.09,0.329,6.323,5.311,60,16.65,50.78
12.194,0.249,0.117,6.318,5.306,60,16.65,50.74
12.258,0.188,0.228,6.31,5.303,60,16.65,50.65
12.323,-0.074,0.228,6.305,5.299,63,16.65,50.48
12.387,-0.091,0.225,6.298,5.294,63,16.65,50.28
12.452,-0.089,0.275,6.293,5.289,63,16.65,50.07
12.516,-0.105,0.199,6.288,5.286,63,16.65,49.82
12.581,-0.108,0.275,6.28,5.281,63,16.64,49.63
12.645,-0.108,0.295,6.275,5.276,63,16.63,49.49
12.71,-0.1,0.329,6.271,5.271,63,16.64,49.4
12.774,-0.048,0.329,6.266,5.268,63,16.64,49.31
12.839,-0.105,0.254,6.261,5.264,63,16.63,49.21
12.903,-0.06,0.269,6.253,5.259,63,16.63,49.11
12.968,0.246,0.293,6.249,5.256,63,16.62,49.07
13.032,-0.01,0.313,6.246,5.253,63,16.62,49.03
13.097,0.071,0.293,6.241,5.249,63,16.6,49
13.161,0.229,0.295,6.236,5.244,63,16.6,48.97
13.226,0.287,0.311,6.231,5.241,63,16.6,48.93
13.29,-0.03,0.376,6.226,5.238,63,16.6,48.89
