Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.054,0.373,6.252,10.939,89,12.48,33.67
0.065,-0.001,0.249,6.252,10.877,89,12.48,33.29
0.129,-0.1,0.352,6.248,10.81,89,12.48,32.94
0.194,0.183,0.456,6.243,10.748,89,12.48,32.48
0.258,-0.012,0.414,6.236,10.687,89,12.48,32.08
0.323,0.066,0.29,6.227,10.631,89,12.48,31.67
0.387,0.117,0.311,6.213,10.576,89,12.48,31.31
0.452,0.197,0.249,6.198,10.525,75,12.48,30.96
0.516,-0.035,0.311,6.181,10.478,75,12.48,30.71
0.581,-0.138,0.331,6.164,10.433,75,12.48,30.54
0.645,-0.152,0.601,6.126,10.353,75,12.48,30.27
0.71,-0.125,0.477,6.125,10.349,75,12.48,30.25
0.774,-0.171,0.456,6.106,10.314,75,12.48,30.09
0.839,-0.239,0.601,6.089,10.281,75,12.48,29.98
0.903,0.103,0.87,6.08,10.249,75,12.48,29.96
0.968,-0.182,0.912,6.072,10.219,75,12.48,30.06
1.032,-0.085,0.849,6.064,10.189,75,12.48,30.27
1.097,0.069,0.725,6.059,10.161,89,12.48,30.54
1.161,0,0.787,6.056,10.132,89,12.48,30.89
1.226,-0.213,0.912,6.054,10.102,89,12.48,31.42
1.29,-0.189,0.849,6.048,10.073,89,12.48,32.31
1.355,-0.13,1.533,6.038,10.047,89,12.48,32.83
1.419,-0.185,1.057,6.027,10.023,89,12.48,33.07
1.484,-0.208,1.285,6.011,10.001,89,12.48,32.88
1.548,0.147,0.974,5.991,9.978,89,12.48,32.59
1.613,-0.112,0.849,5.972,9.956,89,12.48,32.48
1.677,-0.03,0.684,5.957,9.937,89,12.48,32.73
1.742,0.129,0.58,5.942,9.92,93,12.48,33.38
1.806,0.034,0.456,5.929,9.906,93,12.48,34.21
1.871,-0.152,0.559,5.913,9.892,93,12.48,34.82
1.935,-0.129,0.58,5.896,9.883,93,12.48,34.83
2,-0.066,0.539,5.885,9.882,93,12.48,34.31
2.065,-0.157,0.269,5.876,9.88,93,12.48,34.21
2.129,-0.139,0.331,5.864,9.87,93,12.48,34.17
2.194,0.101,0.601,5.864,9.864,93,12.48,34.3
2.258,-0.148,0.311,5.856,9.858,93,12.48,34.19
2.323,-0.047,1.036,5.854,9.845,93,12.48,33.99
2.387,0.066,1.222,5.857,9.835,95,12.48,33.49
2.452,-0.126,0.269,5.861,9.825,95,12.48,33
2.516,-0.269,0.331,5.867,9.823,95,12.48,32.5
2.581,-0.258,0.228,5.859,9.815,95,12.48,32.33
2.645,-0.194,0.746,5.854,9.798,95,12.48,31.93
2.71,-0.288,0.477,5.859,9.784,95,12.48,31.56
2.774,-0.116,0.394,5.86,9.773,95,12.48,31.38
2.839,-0.148,0.331,5.851,9.757,95,12.48,30.93
2.903,-0.241,0.477,5.845,9.745,95,12.48,30.39
2.968,-0.131,0.352,5.84,9.728,94,12.48,29.78
3.032,-0.015,0.559,5.832,9.716,94,12.48,29.35
3.097,-0.234,0.435,5.819,9.718,94,12.48,28.91
3.161,-0.324,0.186,5.809,9.736,94,12.48,28.5
3.226,-0.324,0.352,5.799,9.755,94,12.48,28.19
3.29,-0.284,0.456,5.791,9.778,94,12.48,27.76
3.355,-0.327,0.228,5.783,9.812,94,12.48,27.3
3.419,-0.368,0.331,5.778,9.857,94,12.48,26.89
3.484,-0.019,0.559,5.777,9.905,94,12.48,26.61
3.548,-0.287,0.186,5.775,9.955,94,12.48,26.37
3.613,-0.201,0.373,5.772,9.998,94,12.48,26.09
3.677,-0.06,0.228,5.772,10.038,89,12.48,25.85
3.742,-0.108,0.249,5.773,10.078,89,12.48,25.74
3.806,-0.299,0.352,5.781,10.115,89,12.48,25.69
3.871,-0.289,0.228,5.787,10.145,89,12.48,25.6
3.935,-0.289,0.311,5.794,10.168,89,12.48,25.35
4,-0.288,0.331,5.802,10.194,89,12.48,25.04
4.065,-0.24,0.249,5.812,10.216,89,12.48,24.82
4.129,-0.248,0.249,5.823,10.226,89,12.48,24.7
4.194,-0.294,0.186,5.834,10.231,89,12.48,24.65
4.258,0.05,0.497,5.846,10.232,89,12.48,24.56
4.323,-0.231,0.269,5.856,10.228,89,12.48,24.45
4.387,-0.14,0.249,5.866,10.223,89,12.48,24.35
4.452,-0.011,0.186,5.876,10.217,76,12.48,24.27
4.516,0.009,0.29,5.884,10.212,76,12.48,24.23
4.581,-0.213,0.207,5.891,10.21,76,12.48,24.12
4.645,-0.217,0.331,5.898,10.208,76,12.48,23.9
4.71,-0.217,0.228,5.903,10.213,76,12.48,23.65
4.774,-0.224,0.207,5.908,10.226,76,12.48,23.42
4.839,-0.217,0.207,5.91,10.24,76,12.48,23.3
4.903,-0.145,0.29,5.912,10.26,76,12.48,23.26
4.968,-0.096,0.29,5.912,10.283,76,12.48,23.26
5.032,0.138,0.352,5.912,10.31,76,12.48,23.22
5.097,-0.01,0.394,5.908,10.336,76,12.48,23.16
5.161,-0.13,0.228,5.905,10.356,76,12.48,23.11
5.226,-0.027,0.331,5.9,10.374,73,12.48,23.08
5.29,0.101,0.269,5.888,10.397,73,12.48,23.01
5.355,-0.045,0.186,5.887,10.4,73,12.48,23
5.419,-0.174,0.228,5.88,10.41,73,12.48,22.92
5.484,-0.165,0.352,5.873,10.435,73,12.48,22.76
5.548,-0.174,0.207,5.864,10.447,73,12.48,22.44
5.613,-0.177,0.311,5.854,10.437,73,12.48,22.15
5.677,-0.147,0.207,5.844,10.413,73,12.48,21.94
5.742,-0.13,0.269,5.835,10.39,73,12.48,21.81
5.806,-0.194,0.249,5.831,10.377,73,12.48,21.73
5.871,0.151,0.331,5.821,10.35,73,12.48,21.62
5.935,-0.181,0.269,5.811,10.314,73,12.48,21.47
6,-0.063,0.228,5.799,10.278,73,12.48,21.33
6.065,0.063,0.207,5.791,10.234,74,12.48,21.27
6.129,0.122,0.269,5.787,10.186,74,12.48,21.22
6.194,-0.121,0.186,5.802,10.146,74,12.48,21.15
6.258,-0.148,0.249,5.847,10.111,74,12.48,21.09
6.323,-0.146,0.186,5.907,10.072,74,12.48,20.95
6.387,-0.158,0.249,5.954,10.031,74,12.48,20.66
6.452,-0.156,0.311,5.992,9.989,74,12.48,20.48
6.516,-0.101,0.186,6.027,9.944,74,12.48,20.4
6.581,-0.128,0.269,6.057,9.901,74,12.48,20.36
6.645,-0.17,0.228,6.078,9.885,74,12.48,20.31
6.71,-0.036,0.166,6.098,9.856,74,12.48,20.25
6.774,-0.078,0.166,6.118,9.825,74,12.48,20.25
6.839,-0.005,0.249,6.14,9.795,74,12.48,20.26
6.903,0.134,0.207,6.16,9.764,74,12.48,20.27
6.968,0.109,0.269,6.178,9.739,74,12.48,20.28
7.032,-0.11,0.186,6.21,9.694,74,12.48,20.34
7.097,-0.113,0.29,6.211,9.691,74,12.48,20.34
7.161,-0.115,0.228,6.221,9.668,74,12.47,20.27
7.226,-0.123,0.228,6.222,9.642,74,12.48,20.14
7.29,-0.121,0.145,6.213,9.618,74,12.48,20.08
7.355,-0.127,0.145,6.186,9.596,74,12.48,20.09
7.419,-0.146,0.249,6.103,9.572,74,12.48,20.11
7.484,0.158,0.331,6.07,9.545,74,12.48,20.1
7.548,-0.065,0.249,6.049,9.526,74,12.48,20.2
7.613,0.022,0.166,6.011,9.481,74,12.48,20.16
7.677,0.166,0.207,6.008,9.478,74,12.48,20.16
7.742,0.111,0.186,5.992,9.459,74,12.48,20.19
7.806,-0.096,0.249,5.978,9.433,74,12.48,20.26
7.871,-0.098,0.166,5.966,9.412,74,12.48,20.33
7.935,-0.105,0.186,5.952,9.392,74,12.48,20.26
8,-0.106,0.166,5.937,9.375,74,12.48,20.12
8.065,-0.031,0.207,5.925,9.358,74,12.48,20.09
8.129,-0.113,0.207,5.914,9.338,74,12.48,20.04
8.194,0.023,0.29,5.903,9.317,74,12.48,20.01
8.258,0.041,0.249,5.891,9.297,74,12.48,20
8.323,-0.029,0.269,5.879,9.278,74,12.48,19.98
8.387,0.078,0.145,5.869,9.26,74,12.48,19.99
8.452,0.221,0.124,5.859,9.243,74,12.48,20
8.516,0.048,0.249,5.849,9.225,74,12.48,20
8.581,-0.08,0.166,5.84,9.205,74,12.48,20.05
8.645,-0.073,0.269,5.832,9.186,74,12.48,20.1
8.71,-0.079,0.145,5.822,9.169,74,12.48,20.01
8.774,-0.077,0.249,5.813,9.154,74,12.48,19.91
8.839,-0.003,0.186,5.806,9.137,74,12.48,19.93
8.903,-0.065,0.311,5.797,9.122,74,12.48,20.1
8.968,-0.019,0.228,5.789,9.106,74,12.48,20.36
9.032,0.187,0.331,5.782,9.09,80,12.48,20.61
9.097,0.023,0.124,5.774,9.072,80,12.48,20.92
9.161,0.127,0.331,5.768,9.06,80,12.48,21.3
9.226,0.278,0.145,5.761,9.045,80,12.48,21.7
9.29,0.16,0.352,5.753,9.03,80,12.48,22.13
9.355,0,0.124,5.748,9.015,80,12.48,22.54
9.419,0.008,0.269,5.741,9,80,12.48,22.9
9.484,0.002,0.249,5.736,8.986,80,12.48,23.1
9.548,0.041,0.29,5.731,8.974,80,12.48,23.3
9.613,0.03,0.207,5.724,8.961,80,12.48,23.55
9.677,-0.024,0.249,5.719,8.949,80,12.48,23.79
9.742,0.313,0.394,5.714,8.935,80,12.48,23.96
9.806,0.019,0.207,5.709,8.92,80,12.48,24.03
9.871,0.119,0.228,5.706,8.906,80,12.48,24.07
9.935,0.253,0.228,5.701,8.891,80,12.48,24.13
10,0.251,0.269,5.696,8.878,80,12.48,24.22
10.065,0.021,0.145,5.691,8.866,80,12.48,24.23
10.129,0.005,0.207,5.686,8.851,80,12.48,24.24
10.194,0.002,0.207,5.684,8.836,80,12.48,24.07
10.258,0.002,0.186,5.679,8.821,80,12.48,23.95
10.323,0.063,0.186,5.674,8.807,80,12.48,23.96
10.387,-0.019,0.207,5.669,8.794,80,12.48,24.03
10.452,0.223,0.373,5.664,8.779,80,12.48,24.14
10.516,0.075,0.29,5.66,8.764,80,12.48,24.23
10.581,0.072,0.186,5.654,8.751,80,12.48,24.26
10.645,0.182,0.186,5.652,8.739,80,12.47,24.26
10.71,0.314,0.228,5.644,8.724,80,12.47,24.29
10.774,0.103,0.166,5.639,8.709,80,12.48,24.31
10.839,0.002,0.186,5.637,8.697,80,12.48,24.31
10.903,0.004,0.145,5.63,8.684,80,12.48,24.23
10.968,-0.004,0.29,5.624,8.669,80,12.48,24.02
11.032,-0.001,0.207,5.619,8.657,80,12.47,23.94
11.097,0.055,0.228,5.614,8.642,80,12.47,23.91
11.161,-0.028,0.249,5.609,8.63,80,12.48,23.87
11.226,0.241,0.352,5.604,8.617,80,12.48,23.87
11.29,0.044,0.477,5.599,8.602,80,12.47,23.86
11.355,0.063,0.207,5.594,8.588,80,12.47,23.87
11.419,0.171,0.249,5.588,8.577,80,12.48,23.83
11.484,0.297,0.207,5.583,8.565,80,12.48,23.84
11.548,0.08,0.249,5.578,8.553,80,12.48,23.79
11.613,-0.02,0.249,5.574,8.538,80,12.48,23.72
11.677,-0.018,0.249,5.567,8.524,80,12.47,23.54
11.742,-0.031,0.311,5.562,8.513,80,12.47,23.24
11.806,-0.04,0.207,5.557,8.5,80,12.48,22.97
11.871,0.004,0.145,5.552,8.489,80,12.48,22.73
11.935,-0.034,0.249,5.547,8.473,80,12.47,22.52
12,-0.087,0.249,5.542,8.462,80,12.47,22.32
12.065,0.238,0.352,5.537,8.451,80,12.48,22.05
12.129,-0.028,0.207,5.532,8.439,80,12.47,21.81
12.194,0.049,0.207,5.527,8.431,80,12.48,21.61
12.258,0.192,0.228,5.522,8.424,80,12.47,21.4
12.323,0.162,0.249,5.517,8.414,80,12.48,21.22
12.387,-0.074,0.207,5.515,8.404,80,12.47,21.04
12.452,-0.08,0.249,5.507,8.392,80,12.47,20.89
12.516,-0.081,0.269,5.505,8.38,80,12.47,20.67
12.581,-0.09,0.249,5.5,8.371,80,12.47,20.4
12.645,-0.091,0.166,5.496,8.362,80,12.47,20.26
