Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,0.071,0.207,2.471,2.628,78,9.65,45.4
0.065,0.045,0.228,2.471,2.628,78,9.63,45.14
0.129,0.057,0.186,2.471,2.628,78,9.63,44.86
0.194,0.067,0.207,2.471,2.628,78,9.63,44.53
0.258,0.084,0.207,2.471,2.628,78,9.63,44.26
0.323,0.151,0.249,2.471,2.628,78,9.63,44.06
0.387,0.074,0.207,2.471,2.628,78,9.63,43.93
0.452,0.132,0.29,2.471,2.628,78,9.65,43.8
0.516,0.362,0.58,2.471,2.628,78,9.63,43.62
0.581,0.162,0.207,2.471,2.628,78,9.63,43.47
0.645,0.245,0.207,2.471,2.628,78,9.63,43.35
0.71,0.417,0.228,2.471,2.628,78,9.63,43.25
0.774,0.321,0.207,2.471,2.628,78,9.65,43.15
0.839,0.071,0.249,2.471,2.628,78,9.63,43.04
0.903,0.063,0.228,2.471,2.628,78,9.63,42.99
0.968,0.051,0.207,2.47,2.628,78,9.63,42.92
1.032,0.036,0.186,2.471,2.628,78,9.65,42.84
1.097,0.029,0.207,2.47,2.628,78,9.65,42.8
1.161,0.059,0.186,2.469,2.628,78,9.63,42.8
1.226,0.102,0.373,2.469,2.628,78,9.63,42.86
1.29,0.315,0.622,2.469,2.628,78,9.63,43
1.355,0.113,0.539,2.469,2.628,78,9.63,43.23
1.419,-0.004,0.186,2.469,2.628,78,9.65,43.53
1.484,0.067,0.186,2.469,2.628,78,9.63,43.85
1.548,0.232,0.228,2.469,2.626,78,9.65,44.44
1.613,0.072,0.186,2.469,2.626,78,9.65,44.48
1.677,-0.154,0.145,2.469,2.625,103,9.65,44.71
1.742,-0.162,0.207,2.469,2.626,103,9.65,44.94
1.806,-0.156,0.186,2.469,2.625,103,9.65,45.06
1.871,-0.137,0.207,2.469,2.626,103,9.65,45.24
1.935,-0.105,0.166,2.469,2.625,103,9.65,45.46
2,-0.182,0.186,2.467,2.626,103,9.65,45.7
2.065,0.135,0.394,2.466,2.625,103,9.65,45.94
2.129,-0.114,0.394,2.466,2.625,103,9.65,46.12
2.194,-0.06,0.186,2.466,2.625,103,9.65,46.23
2.258,0.041,0.186,2.466,2.625,78,9.63,46.31
2.323,0.21,0.207,2.466,2.625,78,9.63,46.37
2.387,0.002,0.186,2.466,2.625,78,9.63,46.37
2.452,-0.123,0.207,2.466,2.625,78,9.63,46.25
2.516,-0.096,0.207,2.466,2.625,78,9.63,46.05
2.581,-0.073,0.186,2.466,2.625,78,9.63,45.76
2.645,-0.033,0.186,2.466,2.625,78,9.63,45.52
2.71,0.029,0.186,2.466,2.625,78,9.63,45.31
2.774,-0.039,0.207,2.466,2.625,78,9.63,45.09
2.839,0.272,0.435,2.466,2.625,78,9.63,44.92
2.903,0.034,0.456,2.464,2.625,78,9.63,44.71
2.968,0.088,0.186,2.464,2.625,78,9.63,44.5
3.032,0.19,0.207,2.464,2.625,78,9.63,44.31
3.097,0.36,0.186,2.464,2.625,78,9.63,44.15
3.161,0.142,0.186,2.464,2.625,78,9.63,44.02
3.226,-0.007,0.186,2.464,2.625,77,9.63,43.89
3.29,0,0.207,2.464,2.625,77,9.63,43.74
3.355,-0.001,0.207,2.464,2.625,77,9.63,43.46
3.419,0.017,0.186,2.464,2.624,77,9.63,43.25
3.484,0.07,0.166,2.464,2.625,77,9.63,43.16
3.548,-0.011,0.207,2.464,2.624,77,9.63,43.11
3.613,0.222,0.456,2.464,2.625,77,9.63,43.08
3.677,0.097,0.497,2.464,2.625,77,9.63,43.03
3.742,0.089,0.186,2.464,2.625,77,9.63,43
3.806,0.18,0.186,2.462,2.625,77,9.63,42.98
3.871,0.345,0.207,2.462,2.625,77,9.63,42.96
3.935,0.152,0.207,2.461,2.624,77,9.63,42.95
4,-0.026,0.228,2.461,2.623,76,9.63,42.93
4.065,-0.038,0.186,2.461,2.623,76,9.63,42.94
4.129,-0.055,0.207,2.461,2.623,76,9.63,42.92
4.194,-0.056,0.207,2.461,2.623,76,9.65,42.89
4.258,-0.016,0.249,2.461,2.623,76,9.65,42.91
4.323,-0.113,0.186,2.461,2.623,76,9.63,42.98
4.387,0.031,0.394,2.461,2.623,76,9.63,43.18
4.452,0.029,0.477,2.461,2.623,76,9.63,43.39
4.516,-0.066,0.186,2.461,2.623,76,9.63,43.64
4.581,0.006,0.207,2.46,2.623,77,9.63,43.89
4.645,0.163,0.207,2.459,2.623,77,9.65,44.18
4.71,-0.003,0.207,2.459,2.623,77,9.63,44.45
4.774,-0.206,0.186,2.459,2.623,77,9.63,44.68
4.839,-0.207,0.207,2.459,2.623,77,9.65,44.91
4.903,-0.202,0.186,2.459,2.623,77,9.65,45.02
4.968,-0.148,0.207,2.459,2.623,77,9.65,45.18
5.032,-0.176,0.186,2.459,2.623,77,9.65,45.38
5.097,-0.219,0.228,2.459,2.623,77,9.63,45.63
5.161,0.149,0.518,2.459,2.623,77,9.65,45.89
