,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.200,50,N,0,0,0,,
1,0:00.824,206,N,0,0,0,,
2,0:01.456,364,N,0,0,0,,
3,0:02.080,520,N,0,0,0,,
4,0:02.704,676,N,0,0,0,,
5,0:03.328,832,N,0,0,0,,
6,0:03.952,988,N,0,0,0,,
7,0:04.584,1146,N,0,0,0,,
8,0:05.208,1302,N,0,0,0,,
9,0:05.832,1458,N,0,0,0,,
10,0:06.464,1616,N,0,0,0,,
11,0:07.096,1774,N,0,0,0,,
12,0:07.728,1932,N,0,0,0,,
13,0:08.368,2092,N,0,0,0,,
14,0:09.000,2250,N,0,0,0,,
15,0:09.632,2408,N,0,0,0,,
16,0:10.256,2564,N,0,0,0,,
17,0:10.880,2720,N,0,0,0,,
18,0:11.504,2876,N,0,0,0,,
19,0:12.128,3032,N,0,0,0,,
20,0:12.752,3188,N,0,0,0,,
21,0:13.368,3342,N,0,0,0,,
22,0:13.984,3496,N,0,0,0,,
23,0:14.608,3652,N,0,0,0,,
24,0:15.224,3806,N,0,0,0,,
25,0:15.848,3962,N,0,0,0,,
26,0:16.464,4116,N,0,0,0,,
27,0:17.088,4272,N,0,0,0,,
28,0:17.696,4424,N,0,0,0,,
29,0:18.320,4580,N,0,0,0,,
30,0:18.928,4732,N,0,0,0,,
31,0:19.544,4886,N,0,0,0,,
32,0:20.152,5038,N,0,0,0,,
33,0:20.768,5192,N,0,0,0,,
34,0:21.384,5346,N,0,0,0,,
35,0:22.000,5500,N,0,0,0,,
36,0:22.624,5656,N,0,0,0,,
37,0:23.248,5812,N,0,0,0,,
38,0:23.872,5968,N,0,0,0,,
39,0:24.496,6124,N,0,0,0,,
40,0:25.120,6280,N,0,0,0,,
41,0:25.744,6436,N,0,0,0,,
42,0:26.376,6594,N,0,0,0,,
43,0:27.008,6752,N,0,0,0,,
44,0:27.640,6910,N,0,0,0,,
45,0:28.280,7070,N,0,0,0,,
46,0:28.920,7230,N,0,0,0,,
47,0:29.560,7390,N,0,0,0,,
48,0:30.200,7550,N,0,0,0,,
49,0:30.840,7710,N,0,0,0,,
50,0:31.472,7868,N,0,0,0,,
51,0:32.112,8028,N,0,0,0,,
52,0:32.744,8186,N,0,0,0,,
53,0:33.376,8344,N,0,0,0,,
54,0:34.008,8502,N,0,0,0,,
55,0:34.640,8660,N,0,0,0,,
56,0:35.264,8816,N,0,0,0,,
57,0:35.896,8974,N,0,0,0,,
58,0:36.520,9130,N,0,0,0,,
59,0:37.144,9286,N,0,0,0,,
60,0:37.768,9442,N,0,0,0,,
61,0:38.392,9598,N,0,0,0,,
62,0:39.000,9750,N,0,0,0,,
63,0:39.616,9904,N,0,0,0,,
64,0:40.224,10056,N,0,0,0,,
65,0:40.832,10208,N,0,0,0,,
66,0:41.440,10360,N,0,0,0,,
67,0:42.048,10512,N,0,0,0,,
68,0:42.656,10664,N,0,0,0,,
69,0:43.264,10816,N,0,0,0,,
70,0:43.872,10968,N,0,0,0,,
71,0:44.480,11120,N,0,0,0,,
72,0:45.088,11272,N,0,0,0,,
73,0:45.696,11424,N,0,0,0,,
74,0:46.312,11578,N,0,0,0,,
75,0:46.920,11730,N,0,0,0,,
76,0:47.536,11884,N,0,0,0,,
77,0:48.160,12040,N,0,0,0,,
78,0:48.776,12194,N,0,0,0,,
79,0:49.392,12348,N,0,0,0,,
80,0:50.016,12504,N,0,0,0,,
81,0:50.640,12660,N,0,0,0,,
82,0:51.272,12818,N,0,0,0,,
83,0:51.896,12974,N,0,0,0,,
84,0:52.528,13132,N,0,0,0,,
85,0:53.160,13290,N,0,0,0,,
86,0:53.792,13448,N,0,0,0,,
87,0:54.424,13606,N,0,0,0,,
88,0:55.056,13764,N,0,0,0,,
89,0:55.688,13922,N,0,0,0,,
90,0:56.320,14080,N,0,0,0,,
91,0:56.944,14236,N,0,0,0,,
92,0:57.576,14394,N,0,0,0,,
93,0:58.216,14554,N,0,0,0,,
94,0:58.848,14712,N,0,0,0,,
95,0:59.472,14868,N,0,0,0,,
96,1:00.104,15026,N,0,0,0,,
97,1:00.728,15182,N,0,0,0,,
98,1:01.360,15340,N,0,0,0,,
99,1:01.992,15498,N,0,0,0,,
100,1:02.624,15656,N,0,0,0,,
101,1:03.248,15812,N,0,0,0,,
102,1:03.872,15968,N,0,0,0,,
103,1:04.496,16124,N,0,0,0,,
104,1:05.112,16278,N,0,0,0,,
105,1:05.728,16432,N,0,0,0,,
106,1:06.344,16586,N,0,0,0,,
107,1:06.952,16738,N,0,0,0,,
108,1:07.568,16892,N,0,0,0,,
109,1:08.176,17044,N,0,0,0,,
110,1:08.784,17196,N,0,0,0,,
111,1:09.400,17350,N,0,0,0,,
112,1:10.016,17504,N,0,0,0,,
113,1:10.624,17656,N,0,0,0,,
114,1:11.240,17810,N,0,0,0,,
