,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.184,46,N,0,0,0,,
1,0:00.992,248,N,0,0,0,,
2,0:01.808,452,N,0,0,0,,
3,0:02.616,654,N,0,0,0,,
4,0:03.440,860,N,0,0,0,,
5,0:04.256,1064,N,0,0,0,,
6,0:05.072,1268,N,0,0,0,,
7,0:05.904,1476,N,0,0,0,,
8,0:06.720,1680,N,0,0,0,,
9,0:07.544,1886,N,0,0,0,,
10,0:08.368,2092,N,0,0,0,,
11,0:09.192,2298,N,0,0,0,,
12,0:10.016,2504,N,0,0,0,,
13,0:10.840,2710,N,0,0,0,,
14,0:11.656,2914,N,0,0,0,,
15,0:12.472,3118,N,0,0,0,,
16,0:13.288,3322,N,0,0,0,,
17,0:14.096,3524,N,0,0,0,,
18,0:14.912,3728,N,0,0,0,,
19,0:15.728,3932,N,0,0,0,,
20,0:16.544,4136,N,0,0,0,,
21,0:17.368,4342,N,0,0,0,,
22,0:18.184,4546,N,0,0,0,,
23,0:19.000,4750,N,0,0,0,,
24,0:19.824,4956,N,0,0,0,,
25,0:20.640,5160,N,0,0,0,,
26,0:21.464,5366,N,0,0,0,,
27,0:22.280,5570,N,0,0,0,,
28,0:23.104,5776,N,0,0,0,,
29,0:23.920,5980,N,0,0,0,,
30,0:24.736,6184,N,0,0,0,,
31,0:25.552,6388,N,0,0,0,,
32,0:26.368,6592,N,0,0,0,,
33,0:27.184,6796,N,0,0,0,,
34,0:28.000,7000,N,0,0,0,,
35,0:28.816,7204,N,0,0,0,,
36,0:29.632,7408,N,0,0,0,,
37,0:30.448,7612,N,0,0,0,,
38,0:31.264,7816,N,0,0,0,,
39,0:32.080,8020,N,0,0,0,,
40,0:32.896,8224,N,0,0,0,,
41,0:33.712,8428,N,0,0,0,,
42,0:34.536,8634,N,0,0,0,,
43,0:35.368,8842,N,0,0,0,,
44,0:36.200,9050,N,0,0,0,,
45,0:37.032,9258,N,0,0,0,,
46,0:37.856,9464,N,0,0,0,,
47,0:38.696,9674,N,0,0,0,,
48,0:39.528,9882,N,0,0,0,,
49,0:40.352,10088,N,0,0,0,,
50,0:41.184,10296,N,0,0,0,,
51,0:42.016,10504,N,0,0,0,,
