,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.380,95,N,0,0,0,,
1,0:00.968,242,N,0,0,0,,
2,0:01.544,386,N,0,0,0,,
3,0:02.124,531,N,0,0,0,,
4,0:02.708,677,N,0,0,0,,
5,0:03.280,820,N,0,0,0,,
6,0:03.716,929,S,0,0,0,,
7,0:04.412,1103,N,0,0,0,,
8,0:05.000,1250,N,0,0,0,,
9,0:05.568,1392,N,0,0,0,,
10,0:06.140,1535,N,0,0,0,,
11,0:06.724,1681,N,0,0,0,,
12,0:07.296,1824,N,0,0,0,,
13,0:07.740,1935,S,0,0,0,,
14,0:08.436,2109,N,0,0,0,,
15,0:09.020,2255,N,0,0,0,,
16,0:09.592,2398,N,0,0,0,,
17,0:10.100,2525,N,0,0,0,,
18,0:10.748,2687,N,0,0,0,,
19,0:11.328,2832,N,0,0,0,,
20,0:11.904,2976,N,0,0,0,,
21,0:12.388,3097,S,0,0,0,,
22,0:13.044,3261,N,0,0,0,,
23,0:13.640,3410,N,0,0,0,,
24,0:14.216,3554,N,0,0,0,,
25,0:14.708,3677,S,0,0,0,,
26,0:15.364,3841,N,0,0,0,,
27,0:15.944,3986,N,0,0,0,,
28,0:16.528,4132,N,0,0,0,,
29,0:17.100,4275,N,0,0,0,,
30,0:17.584,4396,S,0,0,0,,
31,0:18.248,4562,N,0,0,0,,
32,0:18.832,4708,N,0,0,0,,
33,0:19.412,4853,N,0,0,0,,
34,0:19.992,4998,N,0,0,0,,
35,0:20.568,5142,N,0,0,0,,
36,0:21.148,5287,N,0,0,0,,
37,0:21.584,5396,S,0,0,0,,
38,0:22.272,5568,N,0,0,0,,
39,0:22.856,5714,N,0,0,0,,
40,0:23.436,5859,N,0,0,0,,
41,0:23.952,5988,N,0,0,0,,
42,0:24.584,6146,N,0,0,0,,
43,0:25.164,6291,N,0,0,0,,
44,0:25.740,6435,N,0,0,0,,
45,0:26.312,6578,N,0,0,0,,
46,0:26.788,6697,S,0,0,0,,
47,0:27.468,6867,N,0,0,0,,
48,0:28.044,7011,N,0,0,0,,
49,0:28.616,7154,N,0,0,0,,
50,0:29.192,7298,N,0,0,0,,
51,0:29.772,7443,N,0,0,0,,
52,0:30.348,7587,N,0,0,0,,
53,0:30.796,7699,S,0,0,0,,
54,0:31.484,7871,N,0,0,0,,
55,0:32.068,8017,N,0,0,0,,
56,0:32.640,8160,N,0,0,0,,
57,0:33.216,8304,N,0,0,0,,
58,0:33.796,8449,N,0,0,0,,
59,0:34.372,8593,N,0,0,0,,
60,0:34.812,8703,S,0,0,0,,
61,0:35.500,8875,N,0,0,0,,
62,0:36.092,9023,N,0,0,0,,
63,0:36.664,9166,N,0,0,0,,
64,0:37.168,9292,S,0,0,0,,
65,0:37.820,9455,N,0,0,0,,
66,0:38.404,9601,N,0,0,0,,
67,0:38.976,9744,N,0,0,0,,
68,0:39.452,9863,S,0,0,0,,
69,0:40.124,10031,N,0,0,0,,
70,0:40.700,10175,N,0,0,0,,
71,0:41.272,10318,N,0,0,0,,
72,0:41.856,10464,N,0,0,0,,
73,0:42.428,10607,N,0,0,0,,
74,0:43.004,10751,N,0,0,0,,
75,0:43.460,10865,S,0,0,0,,
76,0:44.148,11037,N,0,0,0,,
77,0:44.732,11183,N,0,0,0,,
78,0:45.192,11298,V,0,0,0,,
79,0:45.820,11455,N,0,0,0,,
80,0:46.460,11615,N,0,0,0,,
81,0:47.044,11761,N,0,0,0,,
82,0:47.624,11906,N,0,0,0,,
83,0:48.156,12039,N,0,0,0,,
84,0:48.780,12195,N,0,0,0,,
85,0:49.364,12341,N,0,0,0,,
