,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,00:00.6,161,N,0,0,0,,
2,00:01.6,402,N,0,0,0,,
3,00:02.6,642,N,0,0,0,,
4,00:03.5,865,N,0,0,0,,
5,00:03.9,980,+,0,0,0,(PREX,
6,00:04.3,1087,N,0,0,0,,
7,00:05.3,1315,N,0,0,0,,
8,00:06.1,1529,N,0,0,0,,
9,00:07.0,1762,N,0,0,0,,
10,00:08.0,2011,N,0,0,0,,
11,00:09.1,2264,N,0,0,0,,
12,00:10.1,2524,N,0,0,0,,
13,00:11.0,2748,N,0,0,0,,
14,00:11.5,2870,+,0,0,0,(N,
15,00:11.9,2975,N,0,0,0,,
16,00:12.8,3202,N,0,0,0,,
17,00:13.7,3427,N,0,0,0,,
18,00:14.5,3636,N,0,0,0,,
19,00:15.1,3767,+,0,0,0,(PREX,
20,00:15.4,3839,N,0,0,0,,
21,00:16.2,4053,N,0,0,0,,
22,00:17.1,4276,N,0,0,0,,
23,00:17.6,4398,+,0,0,0,(N,
24,00:18.0,4503,N,0,0,0,,
25,00:18.9,4736,N,0,0,0,,
26,00:19.9,4980,N,0,0,0,,
27,00:20.9,5217,N,0,0,0,,
28,00:21.8,5454,N,0,0,0,,
29,00:22.7,5665,N,0,0,0,,
30,00:23.5,5875,N,0,0,0,,
31,00:24.3,6087,N,0,0,0,,
32,00:25.2,6311,N,0,0,0,,
33,00:26.1,6536,N,0,0,0,,
34,00:27.0,6759,N,0,0,0,,
35,00:27.9,6965,N,0,0,0,,
36,00:28.7,7163,N,0,0,0,,
37,00:29.4,7356,N,0,0,0,,
38,00:30.2,7558,N,0,0,0,,
39,00:31.1,7776,N,0,0,0,,
40,00:31.6,7907,+,0,0,0,(PREX,
41,00:32.0,7989,N,0,0,0,,
42,00:32.9,8215,N,0,0,0,,
43,00:33.8,8446,N,0,0,0,,
44,00:34.3,8574,+,0,0,0,(N,
45,00:34.7,8678,N,0,0,0,,
46,00:35.2,8800,+,0,0,0,(PREX,
47,00:35.5,8884,N,0,0,0,,
48,00:36.3,9084,N,0,0,0,,
49,00:37.1,9281,N,0,0,0,,
50,00:37.9,9476,N,0,0,0,,
51,00:38.7,9675,N,0,0,0,,
52,00:39.5,9884,N,0,0,0,,
53,00:40.4,10109,N,0,0,0,,
54,00:41.0,10243,+,0,0,0,(N,
55,00:41.4,10338,N,0,0,0,,
56,00:41.9,10470,+,0,0,0,(PREX,
57,00:42.2,10554,N,0,0,0,,
