,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.100,25,N,0,0,11,,
1,0:00.684,171,N,0,0,48,,
2,0:01.280,320,N,0,0,42,,
3,0:01.856,464,N,0,0,60,,
4,0:02.436,609,N,0,0,60,,
5,0:03.036,759,N,0,0,48,,
6,0:03.640,910,N,0,0,42,,
7,0:04.248,1062,N,0,0,42,,
8,0:04.872,1218,N,0,0,11,,
9,0:05.504,1376,N,0,0,11,,
10,0:06.140,1535,N,0,0,11,,
11,0:06.780,1695,N,0,0,42,,
12,0:07.420,1855,N,0,0,42,,
13,0:08.068,2017,N,0,0,48,,
14,0:08.740,2185,N,0,0,11,,
15,0:09.404,2351,N,0,0,42,,
16,0:10.068,2517,N,0,0,42,,
17,0:10.756,2689,N,0,0,11,,
18,0:11.452,2863,N,0,0,42,,
19,0:12.168,3042,N,0,0,11,,
20,0:12.864,3216,N,0,0,11,,
21,0:13.592,3398,N,0,0,11,,
22,0:14.304,3576,N,0,0,42,,
23,0:15.000,3750,N,0,0,11,,
24,0:15.692,3923,N,0,0,11,,
25,0:16.404,4101,N,0,0,48,,
26,0:17.156,4289,N,0,0,11,,
27,0:17.880,4470,N,0,0,42,,
28,0:18.600,4650,N,0,0,11,,
29,0:19.312,4828,N,0,0,11,,
30,0:20.028,5007,N,0,0,11,,
31,0:20.756,5189,N,0,0,11,,
32,0:21.476,5369,N,0,0,42,,
33,0:22.248,5562,N,0,0,11,,
34,0:23.052,5763,N,0,0,11,,
35,0:23.864,5966,N,0,0,42,,
36,0:24.648,6162,N,0,0,11,,
37,0:25.476,6369,N,0,0,48,,
38,0:26.320,6580,N,0,0,11,,
39,0:27.108,6777,N,0,0,11,,
40,0:27.928,6982,N,0,0,42,,
41,0:28.748,7187,N,0,0,48,,
42,0:29.544,7386,N,0,0,42,,
43,0:30.364,7591,N,0,0,48,,
44,0:31.216,7804,N,0,0,42,,
45,0:32.052,8013,N,0,0,42,,
46,0:32.872,8218,N,0,0,48,,
47,0:33.724,8431,N,0,0,42,,
48,0:34.576,8644,N,0,0,42,,
49,0:35.388,8847,N,0,0,42,,
50,0:36.240,9060,N,0,0,11,,
51,0:37.084,9271,N,0,0,42,,
52,0:37.888,9472,N,0,0,42,,
53,0:38.724,9681,N,0,0,48,,
54,0:39.584,9896,N,0,0,42,,
55,0:40.404,10101,N,0,0,42,,
56,0:41.224,10306,N,0,0,42,,
57,0:42.084,10521,N,0,0,11,,
58,0:42.936,10734,N,0,0,42,,
59,0:43.748,10937,N,0,0,42,,
60,0:44.600,11150,N,0,0,33,,
61,0:45.452,11363,N,0,0,48,,
62,0:46.280,11570,N,0,0,42,,
63,0:47.076,11769,N,0,0,11,,
64,0:47.888,11972,N,0,0,48,,
65,0:48.724,12181,N,0,0,11,,
66,0:49.512,12378,N,0,0,11,,
67,0:50.320,12580,N,0,0,11,,
68,0:51.140,12785,N,0,0,42,,
69,0:51.968,12992,N,0,0,42,,
70,0:52.772,13193,N,0,0,11,,
71,0:53.624,13406,N,0,0,33,,
72,0:54.492,13623,N,0,0,11,,
73,0:55.328,13832,N,0,0,42,,
74,0:56.140,14035,N,0,0,11,,
75,0:56.984,14246,N,0,0,48,,
76,0:57.828,14457,N,0,0,42,,
77,0:58.624,14656,N,0,0,11,,
78,0:59.436,14859,N,0,0,42,,
79,1:00.272,15068,N,0,0,42,,
80,1:01.076,15269,N,0,0,42,,
81,1:01.896,15474,N,0,0,11,,
82,1:02.764,15691,N,0,0,42,,
83,1:03.648,15912,N,0,0,42,,
84,1:04.476,16119,N,0,0,42,,
85,1:05.340,16335,N,0,0,42,,
86,1:06.200,16550,N,0,0,42,,
87,1:07.036,16759,N,0,0,42,,
88,1:07.848,16962,N,0,0,42,,
89,1:08.684,17171,N,0,0,42,,
90,1:09.528,17382,N,0,0,11,,
91,1:10.340,17585,N,0,0,42,,
92,1:11.168,17792,N,0,0,42,,
93,1:11.976,17994,N,0,0,11,,
94,1:12.732,18183,N,0,0,48,,
95,1:13.528,18382,N,0,0,11,,
96,1:14.328,18582,N,0,0,42,,
97,1:15.100,18775,N,0,0,42,,
98,1:15.840,18960,N,0,0,11,,
99,1:16.584,19146,N,0,0,11,,
100,1:17.296,19324,N,0,0,11,,
101,1:17.992,19498,N,0,0,11,,
102,1:18.708,19677,N,0,0,42,,
103,1:19.444,19861,N,0,0,11,,
104,1:20.240,20060,N,0,0,11,,
105,1:21.084,20271,N,0,0,42,,
106,1:21.872,20468,N,0,0,11,,
107,1:22.708,20677,N,0,0,48,,
108,1:23.584,20896,N,0,0,42,,
109,1:24.380,21095,N,0,0,48,,
110,1:25.208,21302,N,0,0,42,,
111,1:26.060,21515,N,0,0,48,,
112,1:26.936,21734,N,0,0,42,,
113,1:27.764,21941,N,0,0,42,,
114,1:28.632,22158,N,0,0,48,,
115,1:29.584,22396,N,0,0,11,,
116,1:30.436,22609,N,0,0,48,,
117,1:31.296,22824,N,0,0,11,,
118,1:32.216,23054,N,0,0,48,,
119,1:33.168,23292,N,0,0,42,,
120,1:34.036,23509,N,0,0,11,,
121,1:34.976,23744,N,0,0,42,,
122,1:35.968,23992,N,0,0,11,,
123,1:36.880,24220,N,0,0,11,,
124,1:37.804,24451,N,0,0,11,,
125,1:38.788,24697,N,0,0,11,,
126,1:39.740,24935,N,0,0,11,,
127,1:40.608,25152,N,0,0,11,,
128,1:41.512,25378,N,0,0,48,,
129,1:42.492,25623,N,0,0,48,,
130,1:43.380,25845,N,0,0,42,,
131,1:44.248,26062,N,0,0,42,,
132,1:45.108,26277,N,0,0,42,,
133,1:45.896,26474,N,0,0,42,,
134,1:46.684,26671,N,0,0,42,,
135,1:47.500,26875,N,0,0,11,,
136,1:48.332,27083,N,0,0,42,,
137,1:49.280,27320,N,0,0,48,,
138,1:50.216,27554,N,0,0,48,,
139,1:51.092,27773,N,0,0,42,,
140,1:51.984,27996,N,0,0,48,,
141,1:52.872,28218,N,0,0,42,,
142,1:53.716,28429,N,0,0,11,,
143,1:54.560,28640,N,0,0,11,,
144,1:55.420,28855,N,0,0,42,,
145,1:56.288,29072,N,0,0,42,,
146,1:57.100,29275,N,0,0,11,,
147,1:57.992,29498,N,0,0,48,,
148,1:58.952,29738,N,0,0,11,,
149,1:59.864,29966,N,0,0,42,,
150,2:00.732,30183,N,0,0,11,,
151,2:01.616,30404,N,0,0,42,,
152,2:02.512,30628,N,0,0,42,,
153,2:03.348,30837,N,0,0,42,,
154,2:04.248,31062,N,0,0,42,,
155,2:05.176,31294,N,0,0,42,,
156,2:06.028,31507,N,0,0,48,,
157,2:06.904,31726,N,0,0,11,,
158,2:07.788,31947,N,0,0,42,,
159,2:08.616,32154,N,0,0,11,,
160,2:09.444,32361,N,0,0,11,,
161,2:10.320,32580,N,0,0,11,,
162,2:11.148,32787,N,0,0,42,,
163,2:11.992,32998,N,0,0,11,,
164,2:12.864,33216,N,0,0,48,,
165,2:13.656,33414,N,0,0,11,,
166,2:14.444,33611,N,0,0,48,,
167,2:15.216,33804,N,0,0,11,,
168,2:15.920,33980,N,0,0,48,,
169,2:16.676,34169,N,0,0,33,,
170,2:17.452,34363,N,0,0,11,,
171,2:18.248,34562,N,0,0,11,,
172,2:19.020,34755,N,0,0,42,,
173,2:19.780,34945,N,0,0,11,,
174,2:20.552,35138,N,0,0,42,,
175,2:21.364,35341,N,0,0,42,,
176,2:22.156,35539,N,0,0,11,,
177,2:22.928,35732,N,0,0,42,,
178,2:23.716,35929,N,0,0,42,,
179,2:24.520,36130,N,0,0,11,,
180,2:25.256,36314,N,0,0,48,,
181,2:26.044,36511,N,0,0,42,,
182,2:26.864,36716,N,0,0,42,,
183,2:27.724,36931,N,0,0,42,,
184,2:28.528,37132,N,0,0,42,,
185,2:29.380,37345,N,0,0,42,,
186,2:30.248,37562,N,0,0,42,,
187,2:31.100,37775,N,0,0,42,,
188,2:31.880,37970,N,0,0,11,,
189,2:32.668,38167,N,0,0,11,,
190,2:33.460,38365,N,0,0,42,,
191,2:34.256,38564,N,0,0,42,,
192,2:35.012,38753,N,0,0,11,,
193,2:35.812,38953,N,0,0,11,,
194,2:36.664,39166,N,0,0,42,,
195,2:37.476,39369,N,0,0,42,,
196,2:38.280,39570,N,0,0,11,,
197,2:39.108,39777,N,0,0,42,,
198,2:39.992,39998,N,0,0,11,,
199,2:40.812,40203,N,0,0,11,,
200,2:41.656,40414,N,0,0,11,,
201,2:42.520,40630,N,0,0,42,,
202,2:43.340,40835,N,0,0,42,,
203,2:44.168,41042,N,0,0,11,,
204,2:45.004,41251,N,0,0,42,,
205,2:45.856,41464,N,0,0,11,,
206,2:46.640,41660,N,0,0,11,,
207,2:47.452,41863,N,0,0,11,,
208,2:48.296,42074,N,0,0,42,,
209,2:49.108,42277,N,0,0,48,,
210,2:49.904,42476,N,0,0,33,,
211,2:50.700,42675,N,0,0,11,,
212,2:51.512,42878,N,0,0,42,,
213,2:52.288,43072,N,0,0,42,,
214,2:53.076,43269,N,0,0,11,,
215,2:53.888,43472,N,0,0,11,,
216,2:54.648,43662,N,0,0,11,,
217,2:55.420,43855,N,0,0,11,,
218,2:56.224,44056,N,0,0,11,,
219,2:57.036,44259,N,0,0,42,,
220,2:57.840,44460,N,0,0,11,,
221,2:58.668,44667,N,0,0,42,,
222,2:59.520,44880,N,0,0,42,,
223,3:00.312,45078,N,0,0,42,,
224,3:01.108,45277,N,0,0,11,,
225,3:01.912,45478,N,0,0,11,,
226,3:02.684,45671,N,0,0,42,,
227,3:03.452,45863,N,0,0,11,,
228,3:04.248,46062,N,0,0,11,,
229,3:05.092,46273,N,0,0,42,,
230,3:05.896,46474,N,0,0,42,,
231,3:06.716,46679,N,0,0,11,,
232,3:07.568,46892,N,0,0,11,,
233,3:08.412,47103,N,0,0,42,,
234,3:09.216,47304,N,0,0,11,,
235,3:10.044,47511,N,0,0,42,,
236,3:10.888,47722,N,0,0,42,,
237,3:11.684,47921,N,0,0,11,,
238,3:12.484,48121,N,0,0,11,,
239,3:13.288,48322,N,0,0,11,,
240,3:14.124,48531,N,0,0,42,,
241,3:14.920,48730,N,0,0,42,,
242,3:15.796,48949,N,0,0,42,,
243,3:16.716,49179,N,0,0,42,,
244,3:17.592,49398,N,0,0,11,,
245,3:18.468,49617,N,0,0,11,,
246,3:19.372,49843,N,0,0,42,,
247,3:20.216,50054,N,0,0,42,,
248,3:21.044,50261,N,0,0,11,,
249,3:21.880,50470,N,0,0,42,,
250,3:22.724,50681,N,0,0,42,,
251,3:23.512,50878,N,0,0,42,,
252,3:24.320,51080,N,0,0,48,,
253,3:25.132,51283,N,0,0,48,,
254,3:25.920,51480,N,0,0,11,,
255,3:26.708,51677,N,0,0,42,,
256,3:27.544,51886,N,0,0,48,,
257,3:28.484,52121,N,0,0,42,,
258,3:29.332,52333,N,0,0,42,,
259,3:30.200,52550,N,0,0,11,,
260,3:31.148,52787,N,0,0,42,,
261,3:32.100,53025,N,0,0,42,,
262,3:32.920,53230,N,0,0,11,,
263,3:33.732,53433,N,0,0,48,,
264,3:34.576,53644,N,0,0,11,,
265,3:35.396,53849,N,0,0,11,,
266,3:36.216,54054,N,0,0,42,,
267,3:37.176,54294,N,0,0,11,,
268,3:38.068,54517,N,0,0,11,,
269,3:38.928,54732,N,0,0,33,,
270,3:39.840,54960,N,0,0,42,,
271,3:40.788,55197,N,0,0,11,,
272,3:41.608,55402,N,0,0,33,,
273,3:42.460,55615,N,0,0,11,,
274,3:43.340,55835,N,0,0,42,,
275,3:44.156,56039,N,0,0,48,,
276,3:44.960,56240,N,0,0,11,,
