,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.480,120,N,0,0,0,,
1,0:01.564,391,N,0,0,0,,
2,0:02.668,667,N,0,0,0,,
3,0:03.744,936,N,0,0,0,,
4,0:04.816,1204,N,0,0,0,,
5,0:05.940,1485,N,0,0,0,,
6,0:07.056,1764,N,0,0,0,,
7,0:08.184,2046,N,0,0,0,,
8,0:09.296,2324,N,0,0,0,,
9,0:10.388,2597,N,0,0,0,,
10,0:11.500,2875,N,0,0,0,,
11,0:12.612,3153,N,0,0,0,,
12,0:13.708,3427,N,0,0,0,,
13,0:14.792,3698,N,0,0,0,,
14,0:15.824,3956,N,0,0,0,,
15,0:16.760,4190,N,0,0,0,,
16,0:17.652,4413,N,0,0,0,,
17,0:18.532,4633,N,0,0,0,,
18,0:19.392,4848,N,0,0,0,,
19,0:20.380,5095,N,0,0,0,,
20,0:21.400,5350,N,0,0,0,,
21,0:22.420,5605,N,0,0,0,,
22,0:23.508,5877,N,0,0,0,,
23,0:24.600,6150,N,0,0,0,,
24,0:25.744,6436,N,0,0,0,,
25,0:26.836,6709,N,0,0,0,,
26,0:27.936,6984,N,0,0,0,,
27,0:29.016,7254,N,0,0,0,,
28,0:30.120,7530,N,0,0,0,,
29,0:31.228,7807,N,0,0,0,,
30,0:32.328,8082,N,0,0,0,,
31,0:33.400,8350,N,0,0,0,,
32,0:34.332,8583,N,0,0,0,,
33,0:35.236,8809,N,0,0,0,,
34,0:36.172,9043,N,0,0,0,,
35,0:37.116,9279,N,0,0,0,,
36,0:38.176,9544,N,0,0,0,,
37,0:39.268,9817,N,0,0,0,,
38,0:40.308,10077,N,0,0,0,,
39,0:41.324,10331,N,0,0,0,,
40,0:42.340,10585,N,0,0,0,,
41,0:43.344,10836,N,0,0,0,,
42,0:44.340,11085,N,0,0,0,,
43,0:45.344,11336,N,0,0,0,,
44,0:46.360,11590,N,0,0,0,,
45,0:47.448,11862,N,0,0,0,,
46,0:48.520,12130,N,0,0,0,,
47,0:49.592,12398,N,0,0,0,,
48,0:50.632,12658,N,0,0,0,,
