,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.584,146,N,0,0,0,,
1,0:02.068,517,N,0,0,0,,
2,0:03.428,857,N,0,0,0,,
3,0:04.764,1191,N,0,0,0,,
4,0:06.108,1527,N,0,0,0,,
5,0:07.528,1882,N,0,0,0,,
6,0:08.840,2210,N,0,0,0,,
7,0:10.184,2546,N,0,0,0,,
8,0:11.552,2888,N,0,0,0,,
9,0:12.976,3244,N,0,0,0,,
10,0:14.320,3580,N,0,0,0,,
11,0:15.684,3921,N,0,0,0,,
12,0:17.124,4281,N,0,0,0,,
13,0:18.468,4617,N,0,0,0,,
14,0:19.856,4964,N,0,0,0,,
15,0:21.240,5310,N,0,0,0,,
16,0:22.640,5660,N,0,0,0,,
17,0:24.000,6000,N,0,0,0,,
18,0:25.356,6339,N,0,0,0,,
19,0:26.764,6691,N,0,0,0,,
20,0:28.084,7021,N,0,0,0,,
21,0:29.444,7361,N,0,0,0,,
22,0:30.828,7707,N,0,0,0,,
23,0:32.224,8056,N,0,0,0,,
24,0:33.388,8347,N,0,0,0,,
25,0:34.920,8730,N,0,0,0,,
26,0:36.372,9093,N,0,0,0,,
27,0:37.772,9443,N,0,0,0,,
28,0:39.084,9771,N,0,0,0,,
29,0:40.420,10105,N,0,0,0,,
30,0:41.832,10458,N,0,0,0,,
31,0:43.168,10792,N,0,0,0,,
32,0:44.536,11134,N,0,0,0,,
33,0:45.936,11484,N,0,0,0,,
34,0:47.256,11814,N,0,0,0,,
35,0:48.544,12136,N,0,0,0,,
36,0:49.920,12480,N,0,0,0,,
37,0:51.288,12822,N,0,0,0,,
38,0:52.668,13167,N,0,0,0,,
39,0:54.068,13517,N,0,0,0,,
40,0:55.600,13900,N,0,0,0,,
41,0:57.004,14251,N,0,0,0,,
42,0:58.412,14603,N,0,0,0,,
43,0:59.820,14955,N,0,0,0,,
44,1:01.192,15298,N,0,0,0,,
45,1:02.528,15632,N,0,0,0,,
46,1:03.880,15970,N,0,0,0,,
47,1:05.296,16324,N,0,0,0,,
48,1:06.608,16652,N,0,0,0,,
49,1:07.960,16990,N,0,0,0,,
50,1:09.364,17341,N,0,0,0,,
51,1:10.756,17689,N,0,0,0,,
52,1:12.092,18023,N,0,0,0,,
