,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.376,94,N,0,0,0,,
1,0:01.096,274,N,0,0,0,,
2,0:01.808,452,N,0,0,0,,
3,0:02.520,630,N,0,0,0,,
4,0:03.240,810,N,0,0,0,,
5,0:04.008,1002,N,0,0,0,,
6,0:04.808,1202,N,0,0,0,,
7,0:05.584,1396,N,0,0,0,,
8,0:06.320,1580,N,0,0,0,,
9,0:07.040,1760,N,0,0,0,,
10,0:07.744,1936,N,0,0,0,,
11,0:08.448,2112,N,0,0,0,,
12,0:09.152,2288,N,0,0,0,,
13,0:09.848,2462,N,0,0,0,,
14,0:10.560,2640,N,0,0,0,,
15,0:11.280,2820,N,0,0,0,,
16,0:11.992,2998,N,0,0,0,,
17,0:12.712,3178,N,0,0,0,,
18,0:13.432,3358,N,0,0,0,,
19,0:14.144,3536,N,0,0,0,,
20,0:14.856,3714,N,0,0,0,,
21,0:15.568,3892,N,0,0,0,,
22,0:16.272,4068,N,0,0,0,,
23,0:16.968,4242,N,0,0,0,,
24,0:17.664,4416,N,0,0,0,,
25,0:18.368,4592,N,0,0,0,,
26,0:19.072,4768,N,0,0,0,,
27,0:19.776,4944,N,0,0,0,,
28,0:20.488,5122,N,0,0,0,,
29,0:21.208,5302,N,0,0,0,,
30,0:21.928,5482,N,0,0,0,,
31,0:22.664,5666,N,0,0,0,,
32,0:23.400,5850,N,0,0,0,,
33,0:24.128,6032,N,0,0,0,,
34,0:24.848,6212,N,0,0,0,,
35,0:25.568,6392,N,0,0,0,,
36,0:26.288,6572,N,0,0,0,,
37,0:27.016,6754,N,0,0,0,,
38,0:27.736,6934,N,0,0,0,,
39,0:28.464,7116,N,0,0,0,,
40,0:29.192,7298,N,0,0,0,,
41,0:29.928,7482,N,0,0,0,,
42,0:30.672,7668,N,0,0,0,,
43,0:31.400,7850,N,0,0,0,,
44,0:32.144,8036,N,0,0,0,,
45,0:32.880,8220,N,0,0,0,,
46,0:33.624,8406,N,0,0,0,,
47,0:34.352,8588,N,0,0,0,,
48,0:35.080,8770,N,0,0,0,,
49,0:35.808,8952,N,0,0,0,,
50,0:36.536,9134,N,0,0,0,,
51,0:37.264,9316,N,0,0,0,,
52,0:38.024,9506,N,0,0,0,,
53,0:38.800,9700,N,0,0,0,,
54,0:39.568,9892,N,0,0,0,,
55,0:40.328,10082,N,0,0,0,,
56,0:41.096,10274,N,0,0,0,,
57,0:41.872,10468,N,0,0,0,,
58,0:42.640,10660,N,0,0,0,,
59,0:43.408,10852,N,0,0,0,,
60,0:44.192,11048,N,0,0,0,,
61,0:44.992,11248,N,0,0,0,,
62,0:45.784,11446,N,0,0,0,,
63,0:46.584,11646,N,0,0,0,,
64,0:47.392,11848,N,0,0,0,,
65,0:48.224,12056,N,0,0,0,,
66,0:49.032,12258,N,0,0,0,,
67,0:49.832,12458,N,0,0,0,,
68,0:50.624,12656,N,0,0,0,,
69,0:51.416,12854,N,0,0,0,,
70,0:52.208,13052,N,0,0,0,,
71,0:53.000,13250,N,0,0,0,,
72,0:53.808,13452,N,0,0,0,,
73,0:54.616,13654,N,0,0,0,,
74,0:55.408,13852,N,0,0,0,,
75,0:56.200,14050,N,0,0,0,,
76,0:56.992,14248,N,0,0,0,,
77,0:57.800,14450,N,0,0,0,,
78,0:58.592,14648,N,0,0,0,,
79,0:59.384,14846,N,0,0,0,,
80,1:00.200,15050,N,0,0,0,,
81,1:01.016,15254,N,0,0,0,,
82,1:01.832,15458,N,0,0,0,,
83,1:02.656,15664,N,0,0,0,,
84,1:03.496,15874,N,0,0,0,,
85,1:04.288,16072,N,0,0,0,,
86,1:05.064,16266,N,0,0,0,,
87,1:05.856,16464,N,0,0,0,,
88,1:06.648,16662,N,0,0,0,,
89,1:07.432,16858,N,0,0,0,,
90,1:08.216,17054,N,0,0,0,,
91,1:08.984,17246,N,0,0,0,,
92,1:09.752,17438,N,0,0,0,,
93,1:10.528,17632,N,0,0,0,,
94,1:11.296,17824,N,0,0,0,,
95,1:12.064,18016,N,0,0,0,,
96,1:12.848,18212,N,0,0,0,,
97,1:13.640,18410,N,0,0,0,,
98,1:14.416,18604,N,0,0,0,,
99,1:15.200,18800,N,0,0,0,,
100,1:15.992,18998,N,0,0,0,,
101,1:16.776,19194,N,0,0,0,,
102,1:17.552,19388,N,0,0,0,,
103,1:18.312,19578,N,0,0,0,,
104,1:19.072,19768,N,0,0,0,,
105,1:19.832,19958,N,0,0,0,,
106,1:20.584,20146,N,0,0,0,,
107,1:21.328,20332,N,0,0,0,,
108,1:22.072,20518,N,0,0,0,,
109,1:22.816,20704,N,0,0,0,,
110,1:23.560,20890,N,0,0,0,,
111,1:24.304,21076,N,0,0,0,,
112,1:25.040,21260,N,0,0,0,,
113,1:25.784,21446,N,0,0,0,,
114,1:26.528,21632,N,0,0,0,,
115,1:27.296,21824,N,0,0,0,,
116,1:28.080,22020,N,0,0,0,,
117,1:28.864,22216,N,0,0,0,,
118,1:29.616,22404,N,0,0,0,,
119,1:30.360,22590,N,0,0,0,,
120,1:31.112,22778,N,0,0,0,,
121,1:31.864,22966,N,0,0,0,,
122,1:32.624,23156,N,0,0,0,,
123,1:33.384,23346,N,0,0,0,,
124,1:34.152,23538,N,0,0,0,,
125,1:34.920,23730,N,0,0,0,,
126,1:35.680,23920,N,0,0,0,,
