Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.252,0.435,8.176,7.36,91,10.17,51.46
0.065,-0.229,0.29,8.194,7.397,91,10.17,51.39
0.129,0.124,0.559,8.212,7.43,91,10.17,51.31
0.194,-0.114,0.269,8.231,7.464,91,10.17,51.14
0.258,0.111,0.269,8.248,7.495,91,10.17,51.01
0.323,0.222,0.29,8.264,7.524,91,10.17,50.95
0.387,0.137,0.207,8.279,7.554,91,10.17,50.9
0.452,-0.143,0.29,8.293,7.582,91,10.17,50.93
0.516,-0.136,0.311,8.302,7.608,91,10.18,51.09
0.581,-0.082,0.29,8.312,7.649,91,10.17,51.06
0.645,-0.041,0.58,8.314,7.651,91,10.17,51.04
0.71,-0.121,0.414,8.318,7.668,91,10.17,50.86
0.774,0.235,0.663,8.316,7.685,91,10.17,50.65
0.839,0.007,0.58,8.31,7.698,91,10.17,50.46
0.903,-0.069,0.622,8.294,7.711,91,10.17,49.98
0.968,-0.008,1.077,8.289,7.721,89,10.17,50.1
1.032,0.2,1.098,8.266,7.727,89,10.18,50.4
1.097,-0.01,0.994,8.268,7.732,89,10.17,50.68
1.161,-0.189,0.974,8.257,7.736,89,10.16,50.77
1.226,-0.236,0.808,8.238,7.736,89,10.15,50.54
1.29,-0.142,1.036,8.221,7.734,89,10.15,50.11
1.355,-0.052,0.912,8.205,7.731,89,10.15,50.28
1.419,-0.124,0.58,8.189,7.725,89,10.17,50.5
1.484,0.264,0.808,8.17,7.72,89,10.17,50.54
1.548,-0.165,0.518,8.154,7.713,89,10.16,50.37
1.613,-0.082,0.642,8.136,7.706,89,10.15,50.04
1.677,0.023,0.497,8.115,7.697,87,10.13,49.67
1.742,0.21,0.684,8.094,7.691,87,10.13,49.42
1.806,-0.039,0.477,8.074,7.684,87,10.15,49.2
1.871,-0.19,0.497,8.054,7.673,87,10.13,49.04
1.935,-0.178,1.036,8.032,7.66,87,10.13,48.77
2,-0.173,0.746,8.011,7.648,87,10.13,48.49
2.065,-0.133,0.663,7.99,7.634,87,10.13,48.38
2.129,-0.206,0.974,7.97,7.62,87,10.13,48.32
2.194,-0.015,0.87,7.95,7.603,87,10.13,48.3
2.258,-0.01,0.974,7.93,7.586,87,10.13,48.23
2.323,-0.094,1.119,7.91,7.568,85,10.13,48.16
2.387,0.001,0.746,7.893,7.55,85,10.13,48.17
2.452,0.196,0.932,7.875,7.531,85,10.13,48.11
2.516,0.057,1.057,7.859,7.512,85,10.13,48
2.581,-0.159,0.663,7.844,7.495,85,10.15,48.07
2.645,-0.159,1.637,7.828,7.476,85,10.15,48
2.71,-0.16,1.554,7.812,7.458,85,10.15,47.78
2.774,-0.126,0.891,7.796,7.438,85,10.13,47.45
2.839,-0.142,0.559,7.779,7.418,85,10.13,47.15
2.903,-0.176,0.539,7.765,7.398,85,10.13,46.99
2.968,0.217,1.305,7.752,7.381,85,10.13,46.82
3.032,-0.139,0.912,7.738,7.361,85,10.13,46.7
3.097,-0.016,0.663,7.726,7.341,85,10.13,46.68
3.161,0.124,0.601,7.713,7.324,85,10.13,46.61
3.226,0.282,0.663,7.702,7.304,82,10.13,46.51
3.29,-0.015,0.373,7.691,7.284,82,10.13,46.46
3.355,-0.107,0.29,7.679,7.266,82,10.13,46.28
3.419,-0.097,0.518,7.669,7.249,82,10.13,46.09
3.484,-0.109,0.414,7.659,7.233,82,10.13,46.01
3.548,-0.061,0.352,7.649,7.215,82,10.13,45.97
3.613,-0.094,0.767,7.639,7.198,82,10.15,45.97
3.677,-0.127,0.559,7.629,7.183,82,10.15,45.97
3.742,0.24,0.331,7.619,7.167,82,10.13,45.99
3.806,-0.067,0.29,7.609,7.151,82,10.13,46.01
3.871,0.03,0.518,7.599,7.136,82,10.13,46
3.935,0.168,0.477,7.589,7.121,82,10.15,46.01
4,0.309,0.559,7.582,7.106,80,10.15,46.03
4.065,-0.008,0.746,7.572,7.092,80,10.15,45.97
4.129,-0.091,0.663,7.564,7.077,80,10.15,45.8
4.194,-0.079,0.311,7.554,7.064,80,10.15,45.66
4.258,-0.09,0.394,7.546,7.05,80,10.15,45.65
4.323,-0.033,0.559,7.537,7.036,80,10.16,45.69
4.387,-0.096,0.559,7.529,7.022,80,10.16,45.71
4.452,-0.111,0.414,7.522,7.009,80,10.16,45.75
4.516,0.234,0.269,7.513,6.997,80,10.16,45.72
4.581,-0.027,0.477,7.505,6.984,80,10.17,45.73
4.645,0.056,0.269,7.497,6.973,80,10.17,45.75
4.71,0.218,0.228,7.49,6.96,81,10.17,45.77
4.774,0.276,0.186,7.481,6.948,81,10.18,45.8
4.839,-0.045,0.373,7.474,6.937,81,10.18,45.68
4.903,-0.079,0.145,7.466,6.925,81,10.18,45.55
4.968,-0.079,0.186,7.46,6.915,81,10.18,45.5
5.032,-0.089,0.249,7.452,6.903,81,10.19,45.5
5.097,-0.031,0.497,7.444,6.893,81,10.19,45.53
5.161,-0.08,0.559,7.437,6.885,81,10.19,45.51
5.226,-0.115,0.249,7.43,6.876,81,10.18,45.53
5.29,0.234,0.186,7.424,6.866,81,10.18,45.6
5.355,-0.038,0.228,7.418,6.857,81,10.18,45.75
5.419,0.04,0.186,7.41,6.848,81,10.18,45.9
5.484,0.189,0.228,7.404,6.838,79,10.18,46.09
5.548,0.289,0.166,7.398,6.83,79,10.18,46.37
5.613,-0.036,0.228,7.392,6.821,79,10.18,46.55
5.677,-0.094,0.249,7.384,6.811,79,10.18,46.83
5.742,-0.093,0.249,7.379,6.804,79,10.18,47.16
5.806,-0.096,0.269,7.373,6.795,79,10.18,47.58
5.871,-0.041,0.477,7.367,6.786,79,10.18,47.99
5.935,-0.114,0.207,7.362,6.779,79,10.18,48.29
6,-0.081,0.331,7.357,6.769,79,10.18,48.63
6.065,0.187,0.331,7.349,6.761,79,10.18,49
6.129,-0.027,0.186,7.344,6.754,79,10.18,49.31
6.194,0.066,0.311,7.337,6.746,81,10.18,49.54
6.258,0.243,0.352,7.332,6.739,81,10.18,49.69
6.323,0.218,0.29,7.327,6.731,81,10.18,49.58
6.387,-0.064,0.311,7.322,6.725,81,10.18,49.46
6.452,-0.08,0.249,7.316,6.718,81,10.18,49.38
6.516,-0.086,0.477,7.31,6.711,81,10.18,49.34
6.581,-0.037,0.539,7.305,6.706,81,10.18,49.31
6.645,-0.083,0.311,7.3,6.698,81,10.18,49.21
6.71,-0.117,0.435,7.295,6.693,81,10.19,49.06
6.774,0.245,0.249,7.29,6.686,81,10.18,48.93
6.839,-0.033,0.539,7.285,6.678,81,10.18,48.72
6.903,0.053,0.331,7.28,6.671,85,10.18,48.5
6.968,0.21,0.373,7.275,6.664,85,10.18,48.28
7.032,0.29,0.269,7.27,6.658,85,10.18,47.95
7.097,-0.031,0.311,7.265,6.651,85,10.18,47.63
7.161,-0.074,0.311,7.26,6.646,85,10.18,47.37
7.226,-0.069,0.477,7.256,6.639,85,10.18,47.19
7.29,-0.063,0.559,7.25,6.633,85,10.18,47.09
7.355,-0.02,0.249,7.245,6.628,85,10.18,46.92
7.419,-0.094,0.352,7.242,6.622,85,10.18,46.8
7.484,0.146,0.331,7.238,6.616,85,10.18,46.71
7.548,0.041,0.207,7.233,6.611,85,10.18,46.63
7.613,0.012,0.311,7.228,6.606,85,10.19,46.46
7.677,0.122,0.373,7.223,6.599,82,10.19,46.36
7.742,0.312,0.456,7.219,6.594,82,10.19,46.17
7.806,0.154,0.435,7.215,6.589,82,10.19,45.94
7.871,-0.066,0.331,7.21,6.584,82,10.19,45.81
7.935,-0.063,0.352,7.205,6.579,82,10.19,45.75
8,-0.067,0.642,7.2,6.572,82,10.21,45.74
8.065,-0.03,0.331,7.196,6.569,82,10.19,45.68
8.129,-0.047,0.477,7.193,6.564,82,10.21,45.65
