Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.094,0.704,5.469,16.545,81,10.01,37.03
0.065,-0.089,0.642,5.47,16.564,81,10.01,36.86
0.129,-0.107,0.331,5.469,16.581,81,10,36.67
0.194,-0.097,0.684,5.469,16.593,81,10,36.38
0.258,-0.073,0.435,5.469,16.607,81,10,36.28
0.323,-0.149,0.642,5.469,16.62,81,10,36.24
0.387,0.117,0.539,5.469,16.628,81,10,36.29
0.452,-0.057,0.249,5.467,16.631,81,10,36.24
0.516,0.034,0.663,5.467,16.631,81,10,36.22
0.581,0.216,0.311,5.467,16.633,81,10.01,36.2
0.645,0.012,0.787,5.464,16.636,81,10.01,36.24
0.71,-0.106,0.601,5.464,16.636,82,10.01,36.3
0.774,-0.097,0.414,5.464,16.632,82,10.01,36.23
0.839,-0.117,0.58,5.463,16.624,82,10.01,36.22
0.903,-0.133,0.539,5.462,16.614,82,10.01,36.12
0.968,-0.129,0.58,5.462,16.603,82,10.01,36.07
1.032,-0.089,0.559,5.462,16.593,82,10.01,36.08
1.097,-0.164,0.539,5.46,16.591,82,10.01,36.19
1.161,0.084,0.373,5.459,16.599,82,10.01,36.28
1.226,-0.113,0.622,5.459,16.614,82,10.01,36.41
1.29,-0.017,0.373,5.459,16.62,82,10,36.57
1.355,0.152,0.725,5.458,16.626,82,10,36.73
1.419,0.023,0.394,5.457,16.626,82,10,36.9
1.484,-0.145,0.622,5.457,16.626,76,10,37.08
1.548,-0.144,0.456,5.457,16.624,76,10,37.26
1.613,-0.16,0.601,5.455,16.622,76,10.01,37.45
1.677,-0.181,0.352,5.454,16.619,76,10.02,37.5
1.742,-0.131,0.559,5.454,16.618,76,10.04,37.61
1.806,-0.183,0.414,5.454,16.617,76,10.04,37.83
1.871,0.088,0.601,5.452,16.614,76,10.05,38.1
1.935,-0.208,0.249,5.452,16.613,76,10.05,38.28
2,-0.057,0.746,5.452,16.613,76,10.04,38.42
2.065,0.098,0.352,5.452,16.614,76,10.04,38.56
2.129,0.125,0.663,5.449,16.614,76,10.05,38.64
2.194,-0.111,0.166,5.449,16.612,82,10.05,38.71
2.258,-0.117,0.539,5.449,16.608,82,10.05,38.68
2.323,-0.113,0.414,5.449,16.604,82,10.04,38.61
2.387,-0.127,0.642,5.447,16.599,82,10.04,38.39
2.452,-0.082,0.414,5.447,16.598,82,10.04,38.14
2.516,-0.116,0.601,5.447,16.597,82,10.04,38.03
2.581,0.087,0.622,5.447,16.596,82,10.04,37.95
2.645,-0.087,0.539,5.444,16.597,82,10.04,37.85
2.71,-0.016,0.684,5.444,16.595,82,10.04,37.66
2.774,0.13,0.663,5.444,16.587,82,10.04,37.53
2.839,0.201,0.58,5.444,16.582,82,10.04,37.37
2.903,-0.055,0.58,5.442,16.579,82,10.04,37.23
2.968,-0.071,0.539,5.442,16.577,83,10.04,37.13
3.032,-0.071,0.622,5.442,16.574,83,10.04,36.98
3.097,-0.088,0.725,5.44,16.572,83,10.04,36.81
3.161,-0.06,0.456,5.439,16.57,83,10.04,36.59
3.226,-0.072,0.601,5.439,16.567,83,10.04,36.53
3.29,-0.046,0.29,5.438,16.562,83,10.05,36.52
3.355,0.077,0.663,5.438,16.56,83,10.04,36.49
3.419,-0.017,0.331,5.437,16.556,83,10.05,36.4
3.484,0.102,0.601,5.437,16.554,83,10.05,36.38
3.548,0.235,0.58,5.437,16.552,83,10.05,36.34
3.613,-0.027,0.497,5.434,16.551,83,10.04,36.3
3.677,-0.077,0.642,5.434,16.551,82,10.05,36.3
3.742,-0.074,0.394,5.432,16.549,82,10.05,36.3
3.806,-0.095,0.642,5.432,16.546,82,10.05,36.28
3.871,-0.068,0.394,5.432,16.546,82,10.05,36.12
3.935,-0.078,0.58,5.429,16.546,82,10.04,36.07
4,-0.066,0.642,5.429,16.547,82,10.05,36.1
4.065,0.066,0.269,5.429,16.547,82,10.04,36.17
4.129,-0.023,0.642,5.428,16.546,82,10.05,36.17
4.194,0.097,0.311,5.427,16.546,82,10.05,36.21
4.258,0.233,0.746,5.427,16.544,82,10.05,36.21
4.323,-0.024,0.249,5.424,16.54,82,10.04,36.2
4.387,-0.074,0.746,5.424,16.537,84,10.05,36.21
4.452,-0.075,0.228,5.423,16.532,84,10.05,36.23
4.516,-0.097,0.642,5.422,16.527,84,10.04,36.26
4.581,-0.07,0.228,5.422,16.526,84,10.04,36.13
4.645,-0.089,0.394,5.422,16.526,84,10.05,36.13
4.71,-0.041,0.684,5.419,16.525,84,10.05,36.32
4.774,0.028,0.456,5.419,16.524,84,10.04,36.57
4.839,-0.032,0.684,5.417,16.522,84,10.05,36.7
4.903,0.089,0.311,5.417,16.521,84,10.05,36.89
4.968,0.201,0.663,5.417,16.52,84,10.05,37.06
5.032,-0.05,0.684,5.417,16.517,84,10.05,37.21
5.097,-0.097,0.331,5.417,16.516,84,10.05,37.4
5.161,-0.097,0.601,5.417,16.514,84,10.05,37.56
5.226,-0.102,0.456,5.414,16.511,84,10.05,37.68
5.29,-0.071,0.704,5.414,16.509,84,10.05,37.72
5.355,-0.143,0.394,5.413,16.508,84,10.05,37.86
5.419,0.114,0.787,5.412,16.508,84,10.04,38.04
5.484,-0.06,0.642,5.412,16.508,84,10.05,38.21
5.548,0.052,0.435,5.409,16.505,84,10.05,38.24
5.613,0.225,0.58,5.409,16.504,84,10.05,38.24
5.677,0.048,0.559,5.408,16.504,84,10.05,38.16
5.742,-0.065,0.663,5.407,16.503,90,10.05,38.05
5.806,-0.062,0.394,5.407,16.504,90,10.05,37.87
5.871,-0.065,0.331,5.407,16.508,90,10.05,37.74
5.935,-0.021,0.704,5.407,16.51,90,10.05,37.44
6,-0.068,0.477,5.407,16.505,90,10.05,37.18
6.065,0.146,0.601,5.404,16.503,90,10.05,37.08
