Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.055,0.293,7.3,6.527,70,11.59,51.02
0.065,0.007,0.321,7.297,6.522,70,11.57,51.01
0.129,-0.068,0.35,7.295,6.518,70,11.57,50.99
0.194,0.046,0.246,7.291,6.514,70,11.57,50.94
0.258,0.231,0.363,7.287,6.511,70,11.57,50.9
0.323,0.046,0.357,7.284,6.509,70,11.57,50.88
0.387,0.13,0.228,7.28,6.504,70,11.57,50.85
0.452,0.338,0.163,7.277,6.499,70,11.57,50.81
0.516,0.335,0.357,7.275,6.494,70,11.57,50.77
0.581,0.015,0.311,7.27,6.489,70,11.57,50.71
0.645,-0.009,0.401,7.267,6.486,91,11.57,50.66
0.71,0.003,0.344,7.264,6.482,91,11.57,50.56
0.774,-0.016,0.277,7.261,6.481,91,11.57,50.44
0.839,-0.027,0.324,7.259,6.479,91,11.57,50.41
0.903,-0.047,0.316,7.255,6.477,91,11.57,50.4
0.968,-0.046,0.293,7.254,6.474,91,11.57,50.39
1.032,-0.096,0.249,7.251,6.476,91,11.57,50.36
1.097,-0.126,0.246,7.249,6.476,91,11.57,50.36
1.161,0.236,0.285,7.249,6.474,91,11.57,50.41
1.226,-0.119,0.36,7.247,6.473,91,11.57,50.52
1.29,-0.054,0.308,7.246,6.471,91,11.57,50.64
1.355,0.028,0.228,7.246,6.472,63,11.57,50.89
1.419,0.225,0.026,7.246,6.473,63,11.57,50.91
1.484,0.072,0.399,7.246,6.473,63,11.57,51.02
1.548,-0.185,0.319,7.246,6.474,63,11.57,51.14
1.613,-0.197,0.251,7.249,6.476,63,11.57,51.23
1.677,-0.194,0.272,7.249,6.477,63,11.57,51.27
1.742,-0.215,0.168,7.251,6.478,63,11.57,51.38
1.806,-0.21,0.168,7.251,6.478,63,11.57,51.51
1.871,-0.144,0.031,7.252,6.478,63,11.57,51.67
1.935,-0.226,0.275,7.254,6.474,63,11.57,51.88
2,-0.216,0.163,7.254,6.464,63,11.57,51.99
2.065,0.186,0.295,7.254,6.454,63,11.57,52.06
2.129,-0.12,0.342,7.255,6.446,63,11.57,52.08
2.194,-0.026,0.277,7.255,6.435,63,11.57,52.02
2.258,0.142,0.197,7.254,6.434,69,11.57,51.98
2.323,0.208,0.319,7.254,6.426,69,11.57,51.92
2.387,-0.109,0.368,7.254,6.42,69,11.57,51.83
2.452,-0.138,0.329,7.254,6.412,69,11.57,51.77
2.516,-0.118,0.324,7.254,6.41,69,11.57,51.7
2.581,-0.116,0.303,7.251,6.406,69,11.56,51.59
2.645,-0.109,0.282,7.251,6.402,69,11.56,51.51
2.71,-0.099,0.347,7.249,6.4,69,11.56,51.44
2.774,-0.033,0.29,7.247,6.41,69,11.56,51.38
2.839,-0.099,0.383,7.246,6.42,69,11.56,51.32
2.903,-0.07,0.365,7.245,6.417,69,11.56,51.24
2.968,0.272,0.303,7.244,6.407,69,11.56,51.15
3.032,0.005,0.352,7.24,6.396,69,11.57,51.05
3.097,0.096,0.256,7.239,6.377,69,11.57,50.96
3.161,0.277,0.119,7.235,6.365,69,11.57,50.86
3.226,0.344,0.308,7.233,6.358,69,11.57,50.82
3.29,0.009,0.37,7.23,6.355,69,11.56,50.75
3.355,-0.033,0.329,7.228,6.361,66,11.56,50.75
3.419,-0.026,0.389,7.225,6.365,66,11.56,50.7
3.484,-0.034,0.171,7.222,6.372,66,11.56,50.56
3.548,-0.047,0.163,7.218,6.377,66,11.56,50.52
3.613,-0.06,0.225,7.215,6.381,66,11.56,50.5
3.677,0.001,0.298,7.212,6.393,66,11.56,50.48
3.742,-0.05,0.347,7.208,6.401,66,11.55,50.47
3.806,-0.069,0.399,7.202,6.424,66,11.55,50.46
3.871,0.296,0.295,7.203,6.425,66,11.55,50.46
3.935,0.001,0.383,7.2,6.436,66,11.55,50.45
4,0.176,0.041,7.199,6.451,66,11.55,50.46
4.065,0.253,0.026,7.199,6.469,66,11.55,50.46
4.129,0.374,0.352,7.199,6.477,66,11.55,50.45
4.194,0.027,0.357,7.2,6.479,66,11.55,50.45
4.258,-0.098,0.308,7.203,6.475,65,11.55,50.43
4.323,-0.104,0.313,7.214,6.477,65,11.55,50.5
4.387,-0.123,0.228,7.215,6.478,65,11.55,50.51
4.452,-0.147,0.163,7.22,6.499,65,11.55,50.63
4.516,-0.153,0.161,7.229,6.52,65,11.55,50.77
4.581,-0.147,0.029,7.239,6.545,65,11.55,50.88
4.645,-0.13,0.249,7.248,6.564,65,11.55,51.02
4.71,-0.195,0.238,7.258,6.569,65,11.55,51.15
4.774,0.214,0.205,7.268,6.574,65,11.55,51.26
4.839,-0.184,0.334,7.281,6.577,65,11.55,51.36
4.903,-0.067,0.026,7.291,6.591,65,11.55,51.56
4.968,0.042,0.029,7.301,6.606,64,11.55,51.81
5.032,0.238,0.189,7.311,6.623,64,11.55,51.99
5.097,0.048,0.316,7.321,6.638,64,11.55,52.1
5.161,-0.153,0.368,7.327,6.649,64,11.55,52.18
5.226,-0.132,0.119,7.335,6.659,64,11.55,52.26
5.29,-0.139,0.117,7.342,6.672,64,11.55,52.25
5.355,-0.141,0.363,7.349,6.679,64,11.55,52.24
5.419,-0.149,0.36,7.354,6.689,64,11.55,52.2
5.484,-0.073,0.313,7.359,6.692,64,11.55,52.15
5.548,-0.156,0.308,7.367,6.696,64,11.55,52.05
5.613,-0.137,0.3,7.368,6.697,64,11.55,52.04
5.677,0.234,0.326,7.371,6.703,64,11.55,51.98
5.742,-0.041,0.277,7.373,6.708,64,11.55,51.96
5.806,0.047,0.205,7.376,6.707,64,11.55,51.95
5.871,0.229,0.352,7.376,6.705,64,11.55,51.9
5.935,0.203,0.36,7.378,6.701,64,11.55,51.86
6,-0.043,0.363,7.378,6.697,64,11.55,51.83
6.065,-0.071,0.381,7.378,6.701,69,11.55,51.79
6.129,-0.058,0.365,7.378,6.706,69,11.55,51.68
6.194,-0.067,0.368,7.374,6.706,69,11.55,51.44
6.258,-0.067,0.277,7.372,6.705,69,11.55,51.43
6.323,-0.076,0.383,7.369,6.705,69,11.55,51.35
6.387,-0.007,0.29,7.366,6.703,69,11.55,51.27
6.452,-0.08,0.324,7.362,6.702,69,11.55,51.21
